县份,姓名,籍贯,伪职及主要罪行,结局
安新县,张慕陶,不详,伪安新县县长；白洋淀周边设立大量炮楼，搜捕雁翎队。,战后逮捕判刑
,田老印,安新,伪安新警备大队长；配合日军对白洋淀进行反复 “清淀”，搜捕雁翎队队员。,安新解放被俘枪决
任丘县,王直平,不详,伪任丘县县长；策划臭名昭著的反共誓约惨案，逼迫群众宣誓反共，残害大量平民百姓。,1945 年公审判处死刑
,李弼臣,任丘,伪任丘警备司令；铁杆汉奸，参与反共誓约惨案，四处烧杀抢掠。,任丘解放被俘处决
,张介福,任丘,伪警察局督察长；参与反共誓约，抓捕拷问群众。,镇反时期公审枪决
雄县,杜星垣,不详,伪雄县县长；管控大清河沿线，盘查水上交通，抓捕地下交通员。,战后汉奸罪判处徒刑
,杨老黑,雄县,伪雄县警备大队长；驻守雄县城及昝岗据点，下乡扫荡。,雄县解放被俘处决
容城县,马伯良,不详,伪容城县县长；推行伪大乡制度，抓丁征粮。,战后逮捕判刑
,刘洛玉,容城,伪容城警备大队长；袭扰容城、雄县交界村庄。,1944 年被县大队击毙
新城（高碑店）,李墨林,新城,伪新城县县长；平汉铁路沿线重要伪政权，修筑大量炮楼封锁沟。,战后判处长期徒刑
,王少武,新城,伪新城警备大队长；多次配合日军扫荡新城周边。,新城解放被俘枪决
定兴县,兰子彬,定兴,伪定兴县县长；受赵玉昆伪军支持，推行日伪政令。,战后逮捕判刑
,赵玉昆,易县,原八路军支队司令员，叛变投敌，伪易县警备团长兼特务部长；狼牙山五壮士事件主要祸首，熟悉根据地内情，带领日军反复扫荡晋察冀一分区，残害大批干部群众；势力延伸定兴、易县、涞水一带。,日本投降后潜逃，1952 年抓捕归案公审枪决
易县,赵玉昆,易县东邵村,伪易县警备团长兼特务部长，见上。,公审枪决抖音百科
,周大牙,易县,伪易县警备副团长，赵玉昆副手；多次带队进山扫荡狼牙山周边村庄。,解放后镇反处决
涞水县,宋子良,不详,伪涞水县县长；管控野三坡外围据点，配合制造无人区。,战后判处徒刑
,郭老秃,涞水,伪涞水讨伐队长；盘踞涞水山区，残害山区堡垒户。,抗战后期被武工队锄奸击毙
涿县（涿州）,金绍宗,不详,伪涿县县长；平汉铁路要地，管控进出北平门户，抓捕来往交通人员。,战后汉奸罪判处徒刑
,刁九龄,涿县,伪涿县警备联队长；伪军主力，驻守涿县城、码头据点。,涿县解放被俘枪决
