县份,姓名,籍贯,伪职及主要罪行,结局
,金明珂,不详,正式伪鸡泽县县长；搭建伪县公署、新民会，推行保甲制度。,抗战胜利逮捕判刑
,贾春太,鸡泽,伪鸡泽警备大队长；率伪军四处骚扰村庄，抓捕抗日人员。,鸡泽解放被俘处决
,霍建之,鸡泽,伪鸡泽伪军头目；日军投降后投奔永年许铁英匪部。,1947 永年战役中弹身亡
广平县,王少安,不详,伪广平县县长；强征粮秣，配合日军扫荡广平抗日根据地。,战后汉奸罪判处徒刑
,马守训,广平,伪广平警备大队长；驻守广平县城，多次出城抢掠村庄，抓捕堡垒户。,广平解放被俘，公审枪决
,董二虎,广平,伪特务系长；专门刺探地下组织情报，告密多名地方干部被捕。,镇反时期处决
大名县,李仲平,不详,首任伪大名县知事；主持修建五十余处碉堡，封锁卫河沿岸根据地。,抗战胜利逮捕，判处无期徒刑
,刘佩忱,不详,后期伪大名县县长；管控冀南东南门户，强征壮丁粮食资敌。,战后汉奸罪判处徒刑
,申秉正,大名,伪警备团头目，上千伪军驻守城外炮楼，多次参与扫荡。,大名解放被俘处决
南乐县（当时属伪冀南道，今河南濮阳）,董灿章,南乐,伪南乐县县长；推行保甲连坐，配合日军清乡，抓捕抗日人员。,抗战胜利公审枪决
,杨法贤,南乐,伪南乐警备大队长；率伪军袭扰卫河两岸游击区。,南乐解放被俘处死
清丰县（当时属伪冀南道，今河南濮阳）,何举之,不详,伪清丰县县长；依附日军，掠夺粮棉物资，制造多起抓捕惨案。,战后逮捕判刑
,马万城,清丰,伪警备队头目；1944 清丰战斗大部被歼，被俘后公审处决,交战被俘处决
濮阳县（当时属伪冀南道，今河南濮阳）,李宣三,濮阳,伪濮阳县县长；管控黄河沿岸据点，强征民夫、粮草资敌。,抗战胜利逮捕，判处长期徒刑
,孙朝贤,濮阳,伪濮阳警备联队长；伪军主力，多次配合日军扫荡昆吾根据地。,濮阳解放被俘枪决
长垣县（当时属伪冀南道，今河南新乡）,阎受宸,不详,伪长垣县县长；搭建伪政权，盘查黄河渡口，抓捕抗日交通人员。,战后汉奸罪判处徒刑
,王殿臣,长垣,伪警备大队长；盘踞长垣县城，下乡烧杀抢掠。,解放后镇反处决
东明县（当时属伪冀南道，今山东菏泽）,李道源,东明,伪东明县县长；推行治安强化运动，修筑炮楼封锁根据地。,日本投降后潜逃，1947 抓捕归案判刑
,楚景三,东明,伪东明警备大队长；率伪军扫荡滩区村庄，残害群众。,东明解放被俘处决
