name,title,source,courtesy_name,pseudonym,birth_year,birth_year_type,death_year,death_year_type,native_place,hometown_province,hometown_city,hometown_county,town,village,source_area,period,faction,summary,crimes,fate,residence_changes,harm_level,harm_name,harm_desc,period_raw,period_note,period_start,period_end,merged_count
任援道,汪伪第一方面军总司令、伪江苏省保安司令,hanjian,,,,,,,上海崇明；江苏南京玄武；江苏南通；江苏镇江,,,,,,上海_崇明；江苏_南京_玄武；江苏_南通_如皋；江苏_镇江,1938-1945,,,指挥伪军在上海崇明等地扫荡抗日游击队，协助日军建立伪政权，控制长江口航道。；驻防南京及江苏，在玄武区一带设立军事机构，协助日军清乡扫荡。；率伪军驻防江苏，参与清剿新四军，在如皋、南通一带多次扫荡。；原国民党军官，投敌后任伪军要职，在镇江、苏南一带配合日军进攻抗日武装，残害百姓。,未知,,A,甲级,省部级/大军区级要员,1940-1945；1940-1945年；1938-1945,,1938,1945,4
张北生,汪伪崇明县知事（县长）,hanjian,,,,,,,上海崇明,上海,崇明,,,,上海_崇明,1941-1943,,,在崇明岛推行保甲制度，强征壮丁，配合日军“清乡”，迫害抗日家属。,未知,,C,丙级,基层头目,1941-1943,,1941,1943,1
黄庆云,伪崇明县警察局长,hanjian,,,,,,,上海崇明,,,,,,上海_崇明,1942-1945,,,率伪警协助日军搜捕抗日地下党员，破坏崇明地下交通站，参与制造多起屠杀事件。,未知,,B,乙级,市县厅局级,1942-1945,,1942,1945,1
陆兆鹏,汪伪崇明县保安大队长,hanjian,,,,,,,上海崇明,上海,崇明,,,,上海_崇明,1943-1945,,,带领伪保安队配合日军在崇明东部地区“扫荡”，烧毁民房，抢劫物资，杀害抗日群众。,未知,,C,丙级,基层头目,1943-1945,,1943,1945,1
施文卿,伪崇明县商会会长,hanjian,,,,,,,上海崇明,上海,崇明,,,,上海_崇明,1939-1945,,,为日军和汪伪政权筹款，强制商户捐献，垄断粮食贸易，向日军提供军需物资。,未知,,C,丙级,基层头目,1939-1945,,1939,1945,1
龚品梅,伪崇明县教育督办,hanjian,,,,,,,上海_崇明,,,,,,上海_崇明,1941-1945,,,推行奴化教育，强制学校使用汪伪教材，宣扬“中日亲善”，迫害爱国教师。,未知,,A,甲级,省部级/大军区级要员,1941-1945,,1941,1945,1
沈维岳,汪伪崇明县税务局长,hanjian,,,,,,,上海崇明,,,,,,上海_崇明,1940-1945,,,增设各种苛捐杂税，盘剥百姓，为伪政权和日军搜刮钱财，导致崇明民生凋敝。,未知,,B,乙级,市县厅局级,1940-1945,,1940,1945,1
王效文,伪崇明县司法承审员,hanjian,,,,,,,上海崇明,上海,崇明,,,,上海_崇明,1942-1945,,,以“通匪”罪名滥捕无辜，刑讯逼供，判处抗日志士死刑，协助日军镇压反抗。,未知,,D,丁级,一般帮凶/基层人员,1942-1945,,1942,1945,1
周佛海,汪伪行政院副院长兼财政部长（曾管辖上海地区）,hanjian,,,,,,,上海崇明,上海,崇明,,,,上海_崇明,1940-1945,,,虽非崇明本地人，但作为汪伪高层，其政策直接覆盖崇明，支持清乡，控制金融掠夺物资。,未知,,A,甲级,省部级/大军区级要员,1940-1945,,1940,1945,1
陈群,伪江苏省省长、伪内政部长,hanjian,,,,,,,上海徐汇,,,,,,上海_徐汇,1938-1945,,,早年活动于上海，后投靠汪伪政权，在徐汇地区参与清乡和特务活动，迫害抗日志士。,未知,,A,甲级,省部级/大军区级要员,1938-1945,,1938,1945,1
卢英,伪上海市警察局局长,hanjian,,,,,,,上海徐汇；上海虹口；上海静安,,,,,,上海_徐汇；上海_虹口；上海_静安,1938-1945,,,在徐汇区设立警察机构，配合日军搜捕抗日分子，镇压民众反抗。；投靠汪伪，任伪警察局长，在虹口等地大肆搜捕抗日地下工作者，配合日军进行“清乡”行动。；任伪警察局长期间，在静安等区域设立特务机构，搜捕抗日志士，协助日军维持殖民统治。,未知,,B,乙级,市县厅局级,1938-1945；1941-1945,,1938,1945,3
潘达,伪上海特别市社会局局长,hanjian,,,,,,,上海徐汇；上海静安,,,,,,上海_徐汇；上海_静安,1940-1945,,,在徐汇地区推行奴化教育，控制社会团体，为汪伪政权服务。；负责伪政权社会控制，在静安地区推行保甲制度，监控民众，配合日军经济统制。,未知,,B,乙级,市县厅局级,1940-1945,,1940,1945,2
吴颂皋,伪上海特别市政府秘书长,hanjian,,,,,,,上海徐汇；上海静安；上海_黄浦,,,,,,上海_徐汇；上海_静安；上海_黄浦,1938-1945,,,参与伪政府行政事务，在徐汇区协助日伪征收捐税，压迫市民。；长期担任伪市政府秘书长，参与策划对静安等地的“清乡”行动，协助汪伪政权镇压抗日力量。；协助傅筱庵管理伪市政府，参与制定奴化教育政策，迫害爱国师生，为日军征用民房和物资。,未知,,B,乙级,市县厅局级,1940-1945；1941-1945；1938-1940年,,1938,1945,3
李士群,汪伪特工总部（76号）主任,hanjian,,,,,,,上海徐汇；上海虹口；上海长宁；上海青浦,,,,,,上海_徐汇；上海_虹口；上海_长宁；上海_青浦,1939-1943,,,其特工组织在徐汇区设有据点，绑架、暗杀抗日人士，制造白色恐怖。；在虹口及上海设立特工据点，指挥暗杀、绑架抗日志士，制造多起血案，后因内讧被毒杀。；在长宁区设有秘密据点，指挥特务活动，迫害爱国人士，是上海汉奸特务体系的核心人物。；负责汪伪特务活动，在青浦及上海周边地区捕杀抗日志士，制造白色恐怖。,被毒杀,,A,甲级,特工总部主任,1939-1943,,1939,1943,4
丁默邨,汪伪特工总部副主任、伪社会部长,hanjian,,,,,,,湖南常德；上海徐汇；重庆_大足,湖南,常德,,,,上海_徐汇；湖南_永州_宁远；湖南_湘潭_韶山；重庆_大足,1938-1945,,,在徐汇地区指挥特务活动，破坏地下抗日组织，罪行累累。；湖南常德人，抗战期间投靠汪精卫，与李士群共同组建伪特工总部，任副主任，后任伪社会部长等职，参与镇压抗日活动。籍贯湖南，与湖南有直接关联。；湖南常德人，早年加入中共后叛变，抗战期间投靠汪伪，与李士群共同组建汪伪特工总部，任副主任、伪社会部长等职，参与汪伪政权对沦陷区的特务统治。；参与伪特工活动，迫害抗日人员，战后以汉奸罪被处决。,被处决,,A,甲级,省部级/大军区级要员,1939-1945；1938-1945,,1938,1945,4
罗君强,伪上海特别市副市长,hanjian,,,,,,,上海徐汇,,,,,,上海_徐汇,1940-1945,,,在徐汇区协助傅筱庵管理市政，推行日伪政策，参与经济掠夺。,未知,,A,甲级,核心城市市长/省部级,1940-1945,,1940,1945,1
苏成德,伪上海特别市警察局副局长,hanjian,,,,,,,上海徐汇,,,,,,上海_徐汇,1941-1945,,,在徐汇区指挥警察镇压罢工和抗日活动，抓捕进步人士。,未知,,B,乙级,市县厅局级,1941-1945,,1941,1945,1
胡兰成,汪伪宣传部政务次长,hanjian,,,,,,,上海徐汇,,,,,,上海_徐汇,1940-1945,,,曾在徐汇区居住，从事文化宣传，为汪伪政权鼓吹“和平运动”。,未知,,B,乙级,市县厅局级,1940-1945,,1940,1945,1
周佛海,汪伪行政院副院长、财政部长,hanjian,,,,,,,上海徐汇；浙江舟山普陀；上海青浦,,,,,,上海_徐汇；上海_普陀；上海_青浦,1939-1945,,,虽主要活动于南京，但在上海徐汇区拥有房产，参与日伪金融统制，间接影响该区。；虽为中央级，但直接控制上海包括普陀的伪政权运作，支持特工活动。；虽主要在上海活动，但通过伪政权系统控制青浦县财政和物资征调。,未知,,A,甲级,省部级/大军区级要员,1939-1945；1940-1945,,1939,1945,3
梅思平,汪伪中央执行委员、实业部长,hanjian,,,,,,,上海徐汇,,,,,,上海_徐汇,1940-1945,,,在徐汇区参与经济统制，协助日军掠夺物资，支持伪政权运作。,未知,,A,甲级,省部级/大军区级要员,1940-1945,,1940,1945,1
林柏生,汪伪宣传部部长,hanjian,,,,,,,上海徐汇；上海青浦,,,,,,上海_徐汇；上海_青浦,1940-1945,,,在徐汇区推动奴化宣传，控制报刊广播，为日伪张目。；在青浦地区进行奴化宣传，控制地方教育。,未知,,A,甲级,省部级/大军区级要员,1940-1945,,1940,1945,2
陈公博,伪上海市长（1940年代后期）,hanjian,,,,,,,上海徐汇,,,,,,上海_徐汇,1944-1945,,,在徐汇区推行“清乡”和保甲制度，强化日伪统治，镇压抗日力量。,未知,,A,甲级,核心城市市长/省部级,1944-1945,,1944,1945,1
褚民谊,汪伪外交部长、广东省长,hanjian,,,,,,,上海徐汇；上海青浦,,,,,,上海_徐汇；上海_青浦,1940-1945,,,曾在徐汇区活动，参与汪伪政权对外交涉，协助日本侵略政策。；虽非直接驻青浦，但参与汪伪高层决策，影响青浦伪政权。,未知,,A,甲级,省部级/大军区级要员,1940-1945,,1940,1945,2
任援道,伪第一方面军总司令,hanjian,,,,,,,上海徐汇；安徽安庆；安徽芜湖；浙江宁波,,,,,,上海_徐汇；安徽_安庆；安徽_芜湖_鸠江；浙江_宁波_镇海,1940-1945,,,其部队在徐汇区驻扎，协助日军维持治安，镇压抗日游击队。；率伪军驻江苏安徽交界，多次进犯安庆地区，协助日军扫荡。；率伪军驻防安徽，在芜湖鸠江地区清乡扫荡，杀害抗日军民。；其伪军部队驻扎浙江，曾参与对宁波、镇海地区的扫荡和清剿。,未知,,A,甲级,省部级/大军区级要员,1940-1945,,1940,1945,4
叶蓬,伪陆军部长,hanjian,,,,,,,上海徐汇；安徽安庆；浙江绍兴,,,,,,上海_徐汇；安徽_安庆_大观；浙江_绍兴_诸暨,1940-1945,,,在徐汇区参与军事训练和治安维持，为日军提供军事支持。；汪伪军事要员，负责整编伪军，其军事部署涉及安徽，包括安庆、大观。；负责伪军整编，其指挥的伪军部队在浙江包括绍兴、诸暨驻防。,未知,,A,甲级,省部级/大军区级要员,1940-1945；1943-1945,,1940,1945,3
唐惠民,伪上海特别市地政局局长,hanjian,,,,,,,上海徐汇,,,,,,上海_徐汇,1941-1945,,,在徐汇区强征土地，为日军和伪军建设设施，侵害居民利益。,未知,,B,乙级,市县厅局级,1941-1945,,1941,1945,1
张显之,伪上海特别市卫生局局长,hanjian,,,,,,,上海徐汇,,,,,,上海_徐汇,1942-1945,,,在徐汇区推行日伪卫生政策，控制医疗资源，为日军服务。,未知,,B,乙级,市县厅局级,1942-1945,,1942,1945,1
黄香谷,伪上海特别市教育局长,hanjian,,,,,,,上海徐汇,,,,,,上海_徐汇,1940-1945,,,在徐汇区学校推行奴化教育，篡改历史，灌输亲日思想。,未知,,B,乙级,市县厅局级,1940-1945,,1940,1945,1
陈群,汪伪政府内政部长、江苏省长,hanjian,,,,,,,浙江舟山普陀；上海闵行；江苏无锡；江苏镇江,,,,,,上海_普陀；上海_闵行；江苏_无锡_宜兴；江苏_镇江,1938-1945,,,曾任伪维新政府内政部长，后任汪伪江苏省长，在普陀地区推行伪化统治，镇压抗日活动。；曾任伪维新政府内政部长，后任汪伪江苏省长，在闵行地区推行清乡政策，镇压抗日力量。；曾任伪维新政府内政部长，后任汪伪江苏省长，在无锡、宜兴等地推行清乡政策，镇压抗日力量。；曾任伪维新政府内政部长，后任汪伪江苏省长，在镇江地区推行伪化统治，协助日军清乡扫荡。,未知,,A,甲级,省部级/大军区级要员,1938-1945,,1938,1945,4
卢英,汪伪上海特别市警察局局长,hanjian,,,,,,,浙江舟山普陀；上海长宁,,,,,,上海_普陀；上海_长宁,1940-1945,,,负责上海（含普陀地区）伪警察系统，协助日军搜捕抗日志士，实施保甲制度。；管辖包括长宁区在内的伪警察系统，配合日军推行“清乡”和治安强化运动，逮捕抗日分子。,未知,,B,乙级,市县厅局级,1940-1945,,1940,1945,2
潘达,汪伪上海特别市普陀区区长,hanjian,,,,,,,上海普陀；浙江舟山普陀,上海,普陀,,,,上海_普陀,1941-1945,,,担任伪普陀区区长，推行日伪征粮、劳役政策，迫害当地居民。,未知,,C,丙级,基层头目,1941-1945,,1941,1945,1
吴四宝,汪伪76号特工总部行动队长,hanjian,,,,,,,上海普陀；浙江舟山普陀；上海长宁,上海,普陀,,,,上海_普陀；上海_长宁,1939-1942,,,率特工在普陀地区绑架、暗杀抗日人士，制造多起恐怖事件。；率特务在长宁区（如愚园路、兆丰公园附近）绑架、暗杀抗日人士，制造多起恐怖事件。,未知,,C,丙级,基层头目,1939-1942,,1939,1942,2
李士群,汪伪特工总部主任,hanjian,,,,,,,浙江舟山普陀；湖南邵阳；重庆_大足,,,,,,上海_普陀；湖南_邵阳_邵东；重庆_大足,1939-1943,,,指挥76号特工在普陀及上海各地破坏地下抗日组织，残害进步人士。；在湖南沦陷区建立特务网络，与邵阳地区伪政权合作，镇压抗日活动，迫害抗日人士。；组建伪特工组织，镇压抗日人士，后与日方矛盾被毒杀。,被毒杀,,A,甲级,特工总部主任,1939-1943；1941-1943,,1939,1943,3
丁默邨,汪伪社会部长、特工总部副主任,hanjian,,,,,,,江苏盐城阜宁；浙江舟山普陀；江苏盐城,江苏,盐城,阜宁,,,上海_普陀；江苏_盐城_东台；江苏_盐城_阜宁,1939-1945,,,参与策划对普陀地区抗日力量的镇压，推行奴化教育。；其特务网络延伸至苏北，在东台、盐城布置情报点，破坏抗日组织。；其特工网络延伸至盐城、阜宁，暗杀抗日人士，破坏地下组织。,未知,,A,甲级,省部级/大军区级要员,1939-1945；1939-1944年；1939-1945年,,1939,1945,3
苏锡文,伪上海特别市副市长,hanjian,,,,,,,浙江舟山普陀,,,,,,上海_普陀,1938-1940,,,协助傅筱庵管理普陀等区，推行伪政令。,未知,,A,甲级,核心城市市长/省部级,1938-1940,,1938,1940,1
张德钦,汪伪普陀区警察署署长,hanjian,,,,,,,上海普陀；浙江舟山普陀,上海,普陀,,,,上海_普陀,1941-1945,,,指挥伪警在普陀地区抓捕抗日嫌疑犯，协助日军清乡。,未知,,D,丁级,无明确职位或一般帮凶,1941-1945,,1941,1945,1
陈公博,伪上海市长（兼）,hanjian,,,,,,,上海杨浦；上海_黄浦,,,,,,上海_杨浦；上海_黄浦,1940-1944,,,汪伪政权要员，兼任伪上海市长期间，推行清乡和奴化政策，杨浦地区在其管辖下。；汪伪政权核心人物，兼任伪上海市长，推行“清乡”政策，配合日军搜捕抗日人士，强化殖民统治。,未知,,A,甲级,核心城市市长/省部级,1940-1944年,,1940,1944,2
吴颂皋,伪上海特别市警察局局长,hanjian,,,,,,,上海杨浦,,,,,,上海_杨浦,1940-1943,,,负责伪上海警察系统，在杨浦地区设立分局，协助日军搜捕抗日人士，残害百姓。,未知,,B,乙级,市县厅局级,1940-1943年,,1940,1943,1
卢英,伪上海特别市警察局副局长,hanjian,,,,,,,上海杨浦,,,,,,上海_杨浦,1941-1945,,,参与指挥伪警察在杨浦（沪东）地区进行“清乡”和特务活动，迫害平民。,未知,,B,乙级,市县厅局级,1941-1945年,,1941,1945,1
潘达,伪上海特别市沪东区公署署长,hanjian,,,,,,,上海杨浦,上海,杨浦,,,,上海_杨浦,1942-1945,,,管辖杨浦地区（沪东区），推行日伪保甲制度，强征粮食和劳工，为日军服务。,未知,,D,丁级,无明确职位或一般帮凶,1942-1945年,,1942,1945,1
张德钦,伪上海特别市沪东区公署副署长,hanjian,,,,,,,上海杨浦,上海,杨浦,,,,上海_杨浦,1943-1945,,,协助潘达管理杨浦地区，参与镇压抗日活动，征收苛捐杂税。,未知,,D,丁级,无明确职位或一般帮凶,1943-1945年,,1943,1945,1
