name,guid,period_start,period_end,harm_level,harm_name,source,crimes
王伯元下属（具体姓名不详）,deefff7d-0a32-47ac-a9a9-cb8757b7cf9d,1941,1945,D,丁级,hanjian,在杨浦区强租民房。
朱斗文下属（具体姓名不详）,5436a3f8-1694-4f1a-b71a-c65cd685fe58,1940,1945,D,丁级,hanjian,在杨浦区卖鸦片。
陈公哲下属（具体姓名不详）,d8daae51-233d-4baf-9806-a5ffa12703b2,1941,1945,D,丁级,hanjian,在杨浦区开赌。
张阿六（张惠芳）,fad70e31-9fc5-4362-afdc-9d571ead0efd,1938,1945,D,丁级,hanjian,原为地方流氓，投日后组织伪保安队，在浦东川沙、南汇一带为日军充当鹰犬，欺压百姓，袭击抗日游击队。
李根源（被日方试图拉拢对象，未附逆）,04ffa2f5-2e5c-4875-b09f-880fa8ef7661,1942,1944,D,丁级,hanjian,日方曾试图拉拢其合作，但李根源坚持抗日，未附逆，此条仅作排除说明。
杨某（佚名）,131030b5-5489-4b08-a522-2ffad81b70b1,1940,1945,C,丙级,hanjian,抗战后期昆明周边曾出现日伪渗透与维持会活动传闻，但云南地处大后方，未沦陷，故无成体系伪政权；相关人物多无明确档案记载。
昆明伪维持会相关人物（姓名待考）,6158b0cb-7eab-425c-8ef4-95eb9002f022,1940,1945,C,丙级,hanjian,昆明作为大后方，未沦陷，无公开伪政权。但日伪特务曾潜入昆明进行活动，相关附逆者史料零散，难以列出具体姓名。
晋宁地区附逆者（姓名待考）,e6b855fb-af9b-4930-a2fd-bbd6a9a8cf58,1940,1945,D,丁级,hanjian,晋宁未沦陷，无公开伪政权。个别地方保甲长在日机轰炸或特务渗透中有妥协行为，但无可靠姓名记载。
龙云（附逆传闻相关者）,99007739-e6e3-416e-9acc-e7d6c7606c0a,1931,1945,D,丁级,hanjian,龙云主政云南期间坚持抗日，未任伪职；此条仅因部分民间传闻涉及昆明地区附逆线索而列，但无可靠史料证明其为汉奸。
卢汉（附逆传闻相关者）,6ed8026c-12d4-44f5-badc-34b566ef8774,1931,1945,D,丁级,hanjian,卢汉率滇军出滇抗战，无可靠史料证明其附逆；此条仅作辨析性列入，不应视为汉奸。
杨某（佚名）,e7f42b1f-8fab-4712-ac46-cf8c293644cf,1942,1944,D,丁级,hanjian,地方志中提及曲靖沦陷区有伪警察头目为日军搜集情报、抓捕抗日人员，但具体姓名缺失。
李某（佚名）,945d8aa2-ad77-43d2-8835-4889812c927a,1942,1944,D,丁级,hanjian,部分保甲长在日军占领期间被迫或主动为日伪征粮、派款、带路，战后多被追究。
赵某（佚名）,1e85f023-49df-4334-bd7f-077d3aa25d08,1942,1944,D,丁级,hanjian,在沦陷区推行奴化教育，改编教材，宣传“大东亚共荣圈”。
钱某（佚名）,71f9179d-875c-40a6-a425-ee45d37304b3,1942,1944,C,丙级,hanjian,为日军筹款、征购物资，协助经济掠夺。
孙某（佚名）,73f0092b-4b16-4900-a65e-70c48c34ba5f,1942,1944,D,丁级,hanjian,组织伪军配合日军扫荡，袭击抗日游击队。
王某（佚名）,5783fc5c-9a2e-48be-a981-42b22bca5018,1942,1944,C,丙级,hanjian,负责登记户口、发放“良民证”，协助日军控制基层。
周某（佚名）,b9a9d6ec-8b8c-440e-85d4-ce902f814918,1942,1944,D,丁级,hanjian,控制物资流通，为日军收购粮食、矿产。
吴某（佚名）,bda560fe-e982-408c-9d2d-1812645e0dec,1942,1944,C,丙级,hanjian,率部投敌，配合日军维持治安，镇压抗日民众。
郑某（佚名）,03c79019-6183-42a8-9645-abfb261e18e6,1942,1944,C,丙级,hanjian,为日军审讯、劝降抗日人员提供翻译服务。
冯某（佚名）,bfc01e63-b932-48b2-929d-8dde865a4520,1942,1944,C,丙级,hanjian,在日军占领下出任伪区长，征粮派夫，压制抗日活动。
德穆楚克栋鲁普（德王）,ac999d87-46c8-4672-9ce9-4747cc633dff,1933,1945,S,特级,hanjian,虽为察哈尔部贵族，但其伪政权势力覆盖乌兰察布地区，在四子王旗、达尔罕茂明安联合旗等地设立伪行政机构，为日军提供兵员和物资，协助日军统治蒙汉民众。；蒙古王公，长期策划“蒙古独立”，1936年成立伪蒙古军政府，1939年任伪蒙疆政府主席，其势力覆盖乌兰察布、兴和地区，为日军提供兵员和情报，镇压抗日活动。；蒙古王公，投靠日本，建立伪蒙政权，其势力范围包括乌兰察布盟及凉城一带，配合日军“治安肃正”，征粮抓丁，迫害抗日军民。；蒙古王公，策划内蒙古独立，投靠日本，建立伪蒙政权，其势力范围包括乌兰察布、商都地区，推行日伪统治，协助日军掠夺资源。；内蒙古王公贵族，积极投靠日本，策划内蒙古独立，在乌海、海勃湾一带推行日伪统治，组织伪蒙古军，协助日军控制河套及鄂尔多斯地区，对抗中国抗日武装。；内蒙古王公，策划内蒙古独立，1936年成立伪蒙古军政府，后与日军合作，在包头、九原地区推行殖民统治，建立伪政权机构，协助日军征兵征粮。；领导内蒙古西部（包括包头、石拐地区）的伪蒙政权，与日军合作，组织伪蒙古军，实施奴化教育，配合日军经济掠夺。；在内蒙古地区策划“蒙古自治运动”，投靠日本关东军，建立伪蒙政权，配合日军统治和掠夺内蒙古资源，组织伪蒙古军协助日军作战。；内蒙古王公，积极策划内蒙古独立，投靠日本，建立伪蒙疆政权，配合日军统治绥远、察哈尔等地，推行奴化政策。；蒙古王公，1936年在日军扶植下成立伪蒙古军政府，后任伪蒙疆政权首脑，在呼和浩特、托克托地区推行日伪统治，协助日军清乡、征粮、抓捕抗日人士。；蒙古王公，在日本扶持下建立伪蒙政权，首府设于归绥（今呼和浩特），在新城地区推行奴化教育，为日军提供兵员和物资，协助日军统治绥远。；蒙古王公，在日本扶植下建立伪蒙政权，其势力范围涵盖呼和浩特、清水河等地，推行奴化教育，为日军提供兵员和物资，协助日军清剿抗日武装。；内蒙古王公贵族，全面投靠日本，在呼和浩特（归绥）建立伪蒙疆政权，推行奴化教育，配合日军“治安强化”运动，迫害抗日军民，其伪政府机构曾驻于旧城（今玉泉区一带）。；内蒙古王公贵族，积极投靠日本，在呼和浩特（归绥）及周边地区建立伪政权，配合日军“以蒙治蒙”策略，组织伪蒙古军，协助日军清剿抗日武装，推行奴化教育。；蒙古王公，积极投靠日本，建立伪蒙政权，其势力范围涵盖绥西地区，支持日军在临河等地设立伪警察署和保甲制度，镇压抗日活动，强征粮草。；蒙古族王公，投靠日本后建立伪蒙政权，其行政管辖名义上包括五原地区，支持日军在绥西的军事行动，并推行奴化教育。；蒙古王公，积极投靠日本，策划内蒙古独立，建立伪蒙政权，其势力范围包括巴彦淖尔地区，支持日军对绥西的军事行动，推行奴化政策。；蒙古王公，与日军合作，在内蒙古地区建立伪政权，其势力范围涉及通辽一带，推行奴化教育，配合日军经济掠夺和军事统治。；在鄂尔多斯及内蒙古西部策划“蒙古独立”，投靠日本关东军，建立伪蒙政权，配合日军对伊克昭盟（今鄂尔多斯）进行殖民统治和军事镇压。；蒙古王公，1936年成立伪蒙古军政府，1939年任伪蒙疆联合自治政府主席，控制张家口及察哈尔地区，为日本殖民统治服务。；蒙古王公，策划内蒙古独立，1936年投日，建立伪蒙古军政府，后任伪蒙疆联合自治政府主席，管辖张家口、张北等地，推行日伪殖民政策。；察哈尔部蒙古王公，1933年策动“内蒙古自治运动”，后与日军合作，在张家口成立伪蒙疆政权，统治察北地区，配合日军“治安肃正”和物资掠夺。；蒙古王公，投靠日本，在张家口成立伪蒙疆政权，其势力范围包括赤城地区，推行奴化政策，协助日军镇压抗日力量。
陈长捷（注：非汉奸，但曾短暂与伪军合作，此处不列）,016afb79-5376-4dac-aea0-3f58e64faf30,,,D,丁级,hanjian,
德穆楚克栋鲁普（德王）,63855ed2-4726-4041-8b07-8640c2c94b56,1933,1945,S,特级,hanjian,蒙古王公，长期与日本关东军勾结，在乌兰察布地区推行“蒙古自治”，建立伪政权，为日军提供兵员和情报，协助统治当地。；蒙古王公，策划内蒙古独立，与日本关东军合作，在包头及周边推行伪蒙疆政权，为日军提供兵员和情报，协助统治占领区。；锡林郭勒盟苏尼特右旗札萨克郡王，抗战期间与日军合作，建立伪蒙疆政权，其统治范围包括绥远西部（含巴彦淖尔地区），推行伪蒙疆自治。；在日本扶持下建立伪蒙政权，其势力范围延伸至宁夏北部和贺兰山地区，配合日军对宁夏进行政治渗透和军事骚扰。；蒙古王公，在日军扶植下于张家口成立伪蒙古军政府及伪蒙疆联合委员会，推行奴化教育，协助日军掠夺资源，是蒙疆地区最高傀儡首领。；蒙古王公，在张家口成立伪蒙疆政权，与日军合作，推行殖民统治，为日军提供兵员和物资，镇压抗日活动。
赵承绶（投日时期）,bf01890a-c5ea-4269-8797-c228c701710e,1939,1940,D,丁级,hanjian；traitors,原晋绥军将领，一度与日军合作，其部队活动于绥南（含凉城），参与对八路军游击区的“围剿”。
门炳岳（投日时期）,5de24fcb-9b8e-4c23-b953-e7c0cf3adeee,1938,1940,D,丁级,hanjian；traitors,原国民党军官，投日后在凉城、和林格尔一带组织伪军，协助日军建立据点，破坏抗日交通线。
德穆楚克栋鲁普（德王）,987159c2-f28c-4766-a217-157cc90b914d,1933,1945,S,特级,hanjian,在化德（当时称嘉卜寺）建立伪蒙古军政府，后任蒙疆联合自治政府主席，积极投靠日本，组织伪蒙古军配合日军进攻绥远等地。；在四子王旗及乌兰察布地区推行亲日政策，组织蒙古军配合日军侵略，建立伪蒙疆政权，分裂中国领土。；在察哈尔右翼后旗及周边地区推行日本殖民政策，组织伪蒙疆政权，协助日军镇压抗日力量，强征劳工和物资；在察哈尔、绥远（含今乌兰察布地区）组织蒙古自治运动，投靠日本，建立蒙疆政权，配合日军统治与掠夺资源。；在乌兰浩特及兴安盟地区推行亲日政策，组建蒙疆政权，配合日军统治内蒙古东部地区，镇压抗日力量。；在内蒙古地区策划‘蒙古自治运动’，投靠日本，建立蒙疆政权，配合日军统治内蒙古中西部，包括呼伦贝尔周边地区；在内蒙古地区策划‘蒙古自治运动’，投靠日本，建立蒙疆政权，配合日军统治绥远（含今巴彦淖尔地区），推行奴化政策。；在锡林郭勒盟（含今二连浩特地区）发起‘蒙古自治运动’，后投靠日本，建立蒙疆政权，配合日军统治内蒙古地区。
德穆楚克栋鲁普（德王）,ddb14421-58ee-4065-b46c-cafe7dd2516b,1933,1945,S,特级,hanjian,蒙古族王公，组织伪蒙疆政权，与日军合作，在乌兰察布、卓资一带推行殖民统治，征粮征兵，协助日军清剿抗日武装。；蒙古王公，策划内蒙古独立，投靠日本，建立伪蒙疆政权，其势力范围包括乌海周边地区，协助日军统治和殖民掠夺。；在内蒙古地区组织伪蒙政权，与日本关东军合作，推行“蒙疆自治”，协助日军统治内蒙古中西部，但未直接管辖兴安、阿尔山地区，主要活动于锡林郭勒、乌兰察布等地。；蒙古王公，策划内蒙古独立，与日军合作成立伪蒙疆政权，管辖包括包头在内的绥远地区，推行奴化教育，协助日军统治。；蒙古王公，与日军合作建立伪蒙疆政权，其势力范围覆盖包头、东河地区，推行奴化教育，为日军提供情报和物资支持。；蒙古王公，与日军合作建立伪蒙疆政权，其势力范围包括包头、固阳等地，推行日伪统治，征粮派款，协助日军清剿抗日游击队。；虽为察哈尔部贵族，但长期在土默特右旗及包头地区活动，与日军合作，建立伪蒙疆政权，推行“蒙独”分裂活动，为日军提供兵源和情报。；蒙古王公，日本扶植的蒙疆政权首脑，其势力范围包括包头、昆都仑地区，推行日伪统治，协助日军镇压抗日力量。；蒙古王公，在日本扶植下成立伪蒙疆政权，管辖包括包头、白云鄂博在内的绥远地区，推行奴化教育，协助日军控制矿产和交通线。；蒙古王公，组织伪蒙疆政权，与日军合作，在内蒙古地区推行殖民统治，其势力范围曾延伸至呼伦贝尔西部边缘，配合日军“治安肃正”。；蒙古王公，在日本扶植下成立伪蒙疆政权，首府驻张家口，但势力范围涵盖呼和浩特及绥远地区，推行亲日政策，协助日军统治。；蒙古王公，策划内蒙古独立，后投靠日本，建立伪蒙疆政权，在呼和浩特（归绥）设立伪政府机构，推行奴化教育，协助日军掠夺资源。；蒙古王公，与日本合作建立伪蒙疆政权，其势力范围覆盖土默特左旗，推行奴化教育，为日军提供情报和兵源。；蒙古族贵族，与日本合作建立“蒙疆政权”，其势力范围包括乌拉特前旗一带，推行奴化教育，为日军提供兵员和物资，协助日军控制河套地区。；虽主要活动于锡林郭勒，但其伪蒙疆政权势力延伸至奈曼旗、通辽一带，支持伪军和特务机构在该地区镇压抗日活动。；蒙古王公，投日建立伪蒙疆政权，其势力范围涉及河北北部（张家口、承德一带），配合日军控制长城沿线。；蒙古族王公，投靠日本，建立伪蒙疆政权，其势力范围包括大同、浑源等晋北地区，协助日军统治和掠夺资源。；在日本扶植下建立伪蒙疆政权，管辖包括张家口、下花园在内的察哈尔地区，推行奴化教育，配合日军经济掠夺和军事镇压。；领导伪蒙疆政权，管辖张家口、宣化等地，配合日军推行殖民统治，建立伪军和警察机构，迫害抗日民众。；在日军扶植下成立伪蒙疆政权，管辖张家口、崇礼等地，推行奴化教育，配合日军经济掠夺和军事镇压。；蒙古王公，与日军合作在张家口成立伪蒙疆政府，管辖包括康保在内的察哈尔地区，推行奴化教育，为日军提供兵员和物资。；蒙古族王公，在日本扶植下成立伪蒙疆政权，总部设于张家口，积极与日军合作，推行奴化教育，为日军提供兵源和物资。；蒙古王公，1936年在日军扶植下成立伪蒙古军政府，后任伪蒙疆联合自治政府主席，管辖张家口及怀安地区，推行奴化教育，协助日军掠夺资源，镇压抗日力量。；蒙古王公，1936年投日，在张家口成立伪蒙疆政府，管辖察哈尔（含怀来）等地，推行奴化教育，为日军提供兵员和物资，镇压抗日活动。；蒙古王公，在日本扶植下于张家口成立伪蒙疆政府，管辖察哈尔等地，在桥东地区设立伪机构，配合日军经济掠夺和殖民统治。；蒙古王公，在日本扶植下成立伪蒙疆政权，以张家口为重要活动中心，配合日军统治察哈尔、绥远等地，提供兵员和物资，协助日军清剿抗日武装。；在张家口建立伪蒙疆政权，与日军合作，推行奴化教育，为日军提供兵员和物资，是涿鹿地区伪政权的最高象征。；蒙古王公，在日军扶植下建立伪蒙疆政权，管辖张家口、大同、归绥等地，配合日军推行殖民统治，组织伪军协助日军作战。；蒙古王公，在日军扶植下成立伪蒙疆政权，管辖张家口及周边地区，推行奴化政策，协助日军统治。；与日本合作，其势力曾延伸至河北北部，间接影响秦皇岛地区
德穆楚克栋鲁普（德王）,0836ecbf-ff20-4514-99d3-bd1ff3a9f331,1936,1945,S,特级,hanjian,锡林郭勒盟苏尼特右旗人，蒙古王公。1936年成立伪蒙古军政府，1937年任伪蒙古联盟自治政府主席，1939年任伪蒙疆联合自治政府主席，统治范围包括乌兰察布盟、察哈尔盟等地，察哈尔右翼中旗在其伪政权管辖之下。
德穆楚克栋鲁普（德王）,26030254-77ea-467b-b4ca-57c88cf16cbe,1933,1945,S,特级,hanjian,在察哈尔右翼前旗及乌兰察布地区积极推行日本侵略者的“蒙疆自治”政策，组织伪蒙古军配合日军进攻抗日武装，并在当地实施殖民统治和奴化教育。；在乌拉特中旗及内蒙古西部策划“蒙古自治”，组建伪蒙古军，配合日军进攻绥远，建立傀儡政权，压迫抗日力量。
德穆楚克栋鲁普（德王）,4511f830-e18c-46d6-b4dd-a58ac6343c46,1936,1945,D,丁级,hanjian,在日军扶植下成立伪蒙古联盟自治政府，任主席，推行“蒙疆自治”，配合日本殖民统治，征发蒙汉民众为日军服务。；蒙古王公，1936年投日，组织伪蒙古军政府，后任伪蒙古联盟自治政府主席，与日军合作，在包头及内蒙古西部推行殖民政策，招募汉奸充实伪政权。；蒙古王公，与日军合作建立伪蒙政权，其势力范围包括武川地区，推行奴化教育，协助日军征粮征兵，镇压抗日活动。；蒙古王公，组织伪蒙古军政府，与日军合作控制察哈尔北部及沽源一带，推行奴化政策。
突泉县维持会会长（姓名待考）,a5338813-22d2-4a70-b8db-5937acb09f49,1932,1933,C,丙级,hanjian,九一八事变后，突泉县地方士绅组织维持会，迎接日军占领，协助建立伪政权，维持地方治安并征发物资。
突泉县伪县长（姓名待考）,801e2a5a-efe2-4935-870a-75c6b3191c72,1933,1945,C,丙级,hanjian,伪满洲国时期由日方委任的突泉县县长，推行保甲制、粮谷出荷、劳工征发等政策，配合日军在兴安南省西部的统治。
扎兰屯维持会会长（姓名待考）,37b084aa-cc5a-4162-a97f-010f90e4a24f,1932,1933,C,丙级,hanjian,扎兰屯地区在1932年日军占领后成立维持会，会长由当地士绅担任，协助日军维持地方秩序、征发物资，具体姓名史料记载不详。
扎兰屯伪警察署长（姓名待考）,b40aef9c-b170-412f-afd0-03a1c6821c7f,1932,1945,D,丁级,hanjian,伪满洲国在扎兰屯设立警察署，署长由当地人担任，负责地方治安、镇压抗日活动，具体姓名史料记载不详。
扎兰屯伪保甲长（姓名待考）,5ff7f63b-ad99-402c-8064-085db0d3fff2,1932,1945,D,丁级,hanjian,伪满洲国在扎兰屯推行保甲制度，保甲长负责户口管理、征发劳工、协助日军统治，具体姓名史料记载不详。
王明贵（伪满时期）,048589f4-13c7-44dd-bafa-78bcb7bd19c3,1940,1945,C,丙级,hanjian；traitors,汉族，原为地方土匪，投靠日军后任保安队长，在三河、室韦一带抓捕抗联交通员，协助日军建立“防谍网”。
陈长捷（注：此人为国民党将领，但曾与日伪有暧昧，需谨慎）,56cdf530-6191-4769-bee4-926840fb3b68,,,D,丁级,hanjian；traitors,
白凤翔（白三阎王）,909ebf24-f829-4f40-a542-b305233388a6,1938,1945,C,丙级,hanjian；traitors,随王英在乌拉特中旗一带活动，参与“清乡”行动，搜捕抗日分子，强征民夫，掠夺物资。
雄诺敦都布（雄王）,a11b0685-eb85-41d8-bad7-a67b61b69fb0,1937,1945,B,乙级,hanjian；traitors,在乌拉特中旗及乌拉特后旗一带活动，为日军提供情报，围剿抗日武装，推行“保甲制度”。
乌勒吉敖喜尔（后反正）,f91d0a24-ad7d-44fe-8e4d-ff8929095e54,1938,1945,B,乙级,hanjian；traitors,在乌拉特中旗驻防期间曾执行日军命令，参与对抗日根据地的封锁，但后期于1945年率部反正（仍列入前期汉奸行为）。
扎奇斯钦（札奇斯钦）,6647108d-7163-46b1-a8b4-6f91eead91e7,1939,1945,D,丁级,hanjian；traitors,参与伪蒙疆政权在乌拉特中旗的行政建设，协助推行奴化教育，宣传“日蒙亲善”。
孙殿英（注：此处为同名误记，实际为孙殿英在赤峰短暂活动，但非汉奸，故不列入）,64894ec2-7e50-4b61-94a1-072b6e401227,,,D,丁级,hanjian；traitors,
孙殿英（注：此人为军阀，但1933年后在热河有投日行为，需谨慎）,176ad4a9-2382-4710-a283-6ceeedc4c1c5,1933,1943,D,丁级,hanjian,虽主要活动在河北，但曾与日军勾结，在赤峰南部边境为日军提供情报，并收编伪军骚扰抗日武装。注：其投日行为存在争议，部分史料未完全确认。
