姓名,籍贯,省份,城市,身份标签,严重度,恶性事件类型,涉及事件名称,罪行摘要,恶性事件详情,结局
刘兴,三肇全域,黑龙江,大庆,[伪满刘兴讨伐队头目],HIGH,屠杀、围剿,,伪职：伪满刘兴讨伐队头目；罪行：伪军讨伐队司令，配合日军围剿抗联十二支队，参与三肇肃正，四处搜捕、屠杀抗日军民。；结局：伪满后期病死。,罪行：伪军讨伐队司令，配合日军围剿抗联十二支队，参与三肇肃正，四处搜捕、屠杀抗日军民。,伪满后期病死。
刘兴,三肇全域,黑龙江,大庆,[伪满刘兴讨伐队头目],HIGH,屠杀、围剿,,伪职：伪满刘兴讨伐队头目；罪行：伪军讨伐队司令，配合日军围剿抗联十二支队，参与三肇肃正，四处搜捕、屠杀抗日军民。；结局：伪满后期病死。,罪行：伪军讨伐队司令，配合日军围剿抗联十二支队，参与三肇肃正，四处搜捕、屠杀抗日军民。,伪满后期病死。
刘守德,绛县,山西,运城,[伪警备队中队长],HIGH,惨案,制造多起惨案,伪职：伪警备队中队长；罪行：驻董封据点，配合日军残害被俘抗日人员，制造多起惨案。；结局：被俘后审判处决,罪行：驻董封据点，配合日军残害被俘抗日人员，制造多起惨案。,被俘后审判处决
刘昆峰,成安,河北,邯郸,[伪成安县县长；成安惨案之后接管伪政权，协助日军维持占领秩序，搜刮物资。],HIGH,惨案,成安惨案,伪职：伪成安县县长；成安惨案之后接管伪政权，协助日军维持占领秩序，搜刮物资。；结局：抗战胜利后逮捕判刑,成安惨案之后接管伪政权，协助日军维持占领秩序，搜刮物资。,抗战胜利后逮捕判刑
刘昆峰,成安,河北,邯郸,[伪成安县县长；成安惨案之后接管伪政权，协助日军维持占领，搜刮物资。],HIGH,惨案,成安惨案,伪职：伪成安县县长；成安惨案之后接管伪政权，协助日军维持占领，搜刮物资。；结局：抗战胜利逮捕判刑,成安惨案之后接管伪政权，协助日军维持占领，搜刮物资。,抗战胜利逮捕判刑
刘昆峰,成安,河北,邯郸,[伪成安县县长；成安惨案之后接管伪政权，协助日军维持占领秩序，搜刮物资。],HIGH,惨案,成安惨案,伪职：伪成安县县长；成安惨案之后接管伪政权，协助日军维持占领秩序，搜刮物资。；结局：抗战胜利后逮捕判刑,成安惨案之后接管伪政权，协助日军维持占领秩序，搜刮物资。,抗战胜利后逮捕判刑
刘本功,山东济宁,山东,济宁,"[军长, 司令, 县长]",HIGH,惨案,制造多起惨案,伪任职务：伪郓城县长、伪警备司令，外号活阎王，鲁西重要伪军，制造多起惨案。结局：1946 年济南被处决,伪任职务：伪郓城县长、伪警备司令，外号活阎王，鲁西重要伪军，制造多起惨案。结局：1946 年济南被处决,1946 年济南被处决
刘雨田,普兰店泡子,辽宁,大连,[关东州厅参事、大连市议员、华商公议会会长，关东都督府嘱托（高级顾问）],HIGH,屠杀、大屠杀,参与旅顺大屠杀,伪职：关东州厅参事、大连市议员、华商公议会会长，关东都督府嘱托（高级顾问）；罪行：甲午战争主动给日军做向导，参与旅顺大屠杀引路；变卖土地房产捐献两架 “雨田号” 战机；宣扬大东亚共荣奴化思想，拉拢乡绅附逆，迫害爱国志士。；结局：1945 年隐匿潜逃，1951 年抓获公审枪决，至死毫无悔意。,罪行：甲午战争主动给日军做向导，参与旅顺大屠杀引路,1945 年隐匿潜逃，1951 年抓获公审枪决，至死毫无悔意。
刘雨田,普兰店泡子,辽宁,大连,[关东州厅参事、大连市议员、华商公议会会长，关东都督府嘱托（高级顾问）],HIGH,屠杀、大屠杀,参与旅顺大屠杀,伪职：关东州厅参事、大连市议员、华商公议会会长，关东都督府嘱托（高级顾问）；罪行：甲午战争主动给日军做向导，参与旅顺大屠杀引路；变卖土地房产捐献两架 “雨田号” 战机；宣扬大东亚共荣奴化思想，拉拢乡绅附逆，迫害爱国志士。；结局：1945 年隐匿潜逃，1951 年抓获公审枪决，至死毫无悔意。,罪行：甲午战争主动给日军做向导，参与旅顺大屠杀引路,1945 年隐匿潜逃，1951 年抓获公审枪决，至死毫无悔意。
刘雨田,普兰店泡子,辽宁,大连,[关东州厅参事、大连市议员、华商公议会会长，关东都督府嘱托（高级顾问）],HIGH,屠杀、大屠杀,参与旅顺大屠杀,伪职：关东州厅参事、大连市议员、华商公议会会长，关东都督府嘱托（高级顾问）；罪行：甲午战争主动给日军做向导，参与旅顺大屠杀引路；变卖土地房产捐献两架 “雨田号” 战机；宣扬大东亚共荣奴化思想，拉拢乡绅附逆，迫害爱国志士。；结局：1945 年隐匿潜逃，1951 年抓获公审枪决，至死毫无悔意。,罪行：甲午战争主动给日军做向导，参与旅顺大屠杀引路,1945 年隐匿潜逃，1951 年抓获公审枪决，至死毫无悔意。
劳乃心,余姚全境,浙江,宁波,[伪余姚维持会会长、伪余姚县县长],HIGH,屠杀、扫荡、清乡,抓捕屠杀,伪职：伪余姚维持会会长、伪余姚县县长；罪行：余姚头号铁杆汉奸，民谣 “天上扫帚星，地上劳乃心”；组建侦缉队，破坏四明山地下党组织，抓捕屠杀大量抗日干部群众；主导余姚盐场清乡，强征毛竹修建封锁篱笆，配合日军反复扫荡浙东抗日根据地中国宁波网。；结局：抗战胜利后逮捕，汉奸审判判处死刑，公审枪决。,组建侦缉队，破坏四明山地下党组织，抓捕屠杀大量抗日干部群众；主导余姚盐场清乡，强征毛竹修建封锁篱笆，配合日军反复扫荡浙东抗日根据地中国宁波网。,抗战胜利后逮捕，汉奸审判判处死刑，公审枪决。
卢万寿,邯郸,河北,邯郸,[伪邯郸警察所长；配合特务抓捕抗日人员，参与插箭岭屠杀干部事件。],HIGH,屠杀,参与插箭岭屠杀,伪职：伪邯郸警察所长；配合特务抓捕抗日人员，参与插箭岭屠杀干部事件。；结局：镇反公审处决,配合特务抓捕抗日人员，参与插箭岭屠杀干部事件。,镇反公审处决
卢万寿,邯郸,河北,邯郸,[伪邯郸警察所长；配合特务李积玉抓捕抗日人员，参与插箭岭屠杀干部事件。],HIGH,屠杀,参与插箭岭屠杀,伪职：伪邯郸警察所长；配合特务李积玉抓捕抗日人员，参与插箭岭屠杀干部事件。；结局：镇反时期公审处决,配合特务李积玉抓捕抗日人员，参与插箭岭屠杀干部事件。,镇反时期公审处决
卢万寿,邯郸,河北,邯郸,[伪邯郸警察所长；配合特务李积玉抓捕抗日人员，参与插箭岭屠杀干部事件。],HIGH,屠杀,参与插箭岭屠杀,伪职：伪邯郸警察所长；配合特务李积玉抓捕抗日人员，参与插箭岭屠杀干部事件。；结局：镇反时期公审处决,配合特务李积玉抓捕抗日人员，参与插箭岭屠杀干部事件。,镇反时期公审处决
吴秉周,平鲁,山西,朔州,[五地委秘书叛变，大特务],HIGH,惨案,是雁北重大惨案、情报酿成白家辛庄惨案,伪职：五地委秘书叛变，大特务；罪行：核心叛徒，出卖情报酿成白家辛庄惨案，168 名抗日干部学员遇难，是雁北重大惨案祸首之一。；结局：解放后公审枪决,罪行：核心叛徒，出卖情报酿成白家辛庄惨案，168 名抗日干部学员遇难，是雁北重大惨案祸首之一。,解放后公审枪决
周善之,,,,[伪赤城县县长；执行集家并村，逼迫百姓迁入人圈，制造无人区惨案。],HIGH,惨案,制造无人区惨案,伪职：伪赤城县县长；执行集家并村，逼迫百姓迁入人圈，制造无人区惨案。；结局：日本投降后潜逃，1946 抓捕归案判刑,执行集家并村，逼迫百姓迁入人圈，制造无人区惨案。,日本投降后潜逃，1946 抓捕归案判刑
周昆贤,望江杨湾,安徽,安庆,[望江县杨湾汉奸向导],HIGH,惨案、杀害、扫荡,直接酿成杨湾惨案,伪职：望江县杨湾汉奸向导；罪行：带领日军汽艇扫荡杨湾，直接酿成杨湾惨案，52 名平民惨遭杀害，村庄焚毁，为日军打探乡间抗日武装踪迹望江新闻网。；结局：抗战胜利公审处决。,罪行：带领日军汽艇扫荡杨湾，直接酿成杨湾惨案，52 名平民惨遭杀害，村庄焚毁，为日军打探乡间抗日武装踪迹望江新闻网。,抗战胜利公审处决。
周海山,青龙,河北,秦皇岛,[伪青龙警备大队长；伪军主力头目，多次配合日军扫荡青平根据地，制造多起村庄惨案。],HIGH,惨案、扫荡,制造多起村庄惨案,伪职：伪青龙警备大队长；伪军主力头目，多次配合日军扫荡青平根据地，制造多起村庄惨案。；结局：解放后镇反公审处决,伪军主力头目，多次配合日军扫荡青平根据地，制造多起村庄惨案。,解放后镇反公审处决
周海山,青龙,河北,秦皇岛,[伪青龙警备大队长；伪军主力头目，多次配合日军扫荡青平根据地，制造多起村庄惨案。],HIGH,惨案、扫荡,制造多起村庄惨案,伪职：伪青龙警备大队长；伪军主力头目，多次配合日军扫荡青平根据地，制造多起村庄惨案。；结局：解放后镇反公审处决,伪军主力头目，多次配合日军扫荡青平根据地，制造多起村庄惨案。,解放后镇反公审处决
周麻子,霍山大河厂??下符桥,安徽,六安,[霍山便衣汉奸],HIGH,惨案、烧杀、扫荡,口被炸死惨案,伪职：霍山便衣汉奸；罪行：带路日军扫荡大河厂，砍断电话线嫁祸乡民，酿成石洞全家 13 口被炸死惨案，烧杀劫掠乡村。；结局：霍山地方武装捕获正法。,罪行：带路日军扫荡大河厂，砍断电话线嫁祸乡民，酿成石洞全家 13 口被炸死惨案，烧杀劫掠乡村。,霍山地方武装捕获正法。
夏宜,,,,[伪抚顺县早期县长],HIGH,惨案,平顶山惨案,伪职：伪抚顺县早期县长；罪行：九一八后投敌，组建抚顺县伪公署；平顶山惨案发生时，向伪奉天省报告情况，配合日军统治。；结局：抗战胜利逮捕，汉奸罪判刑。,平顶山惨案发生时，向伪奉天省报告情况，配合日军统治。,抗战胜利逮捕，汉奸罪判刑。
姜全我,凤城,辽宁,丹东,[伪凤城县警务科长、伪满少将],HIGH,惨案,制造多起惨案,伪职：伪凤城县警务科长、伪满少将；罪行：原东北军投敌；长期在凤城、安东一带讨伐义勇军，制造多起惨案。；结局：1934 年被义勇军击毙。,长期在凤城、安东一带讨伐义勇军，制造多起惨案。,1934 年被义勇军击毙。
孙书田,凌源,辽宁,朝阳,[伪凌源县县长],HIGH,惨案,制造多起惨案,伪职：伪凌源县县长；罪行：凌源伪主官，推行集团部落，配合日伪讨伐热东抗日武装，制造多起惨案。；结局：抗战胜利逮捕，判处重刑。,罪行：凌源伪主官，推行集团部落，配合日伪讨伐热东抗日武装，制造多起惨案。,抗战胜利逮捕，判处重刑。
孙文兰,不详,,,[特务],HIGH,残杀,,伪任职务：伪便衣特务队长，海启一带作恶，残杀民兵，悬挂人头恐吓群众南通史志网。。结局：被东南行动大队锄奸处决,伪任职务：伪便衣特务队长，海启一带作恶，残杀民兵，悬挂人头恐吓群众南通史志网。。结局：被东南行动大队锄奸处决,被东南行动大队锄奸处决
孙柏青,,,,[伪兴隆县县长；强力推行集家并村，强修人圈，疯狂清剿雾灵山抗日根据地，制造多起惨案。],HIGH,惨案、清剿,制造多起惨案,伪职：伪兴隆县县长；强力推行集家并村，强修人圈，疯狂清剿雾灵山抗日根据地，制造多起惨案。；结局：1945 被俘，公审判处死刑,强力推行集家并村，强修人圈，疯狂清剿雾灵山抗日根据地，制造多起惨案。,1945 被俘，公审判处死刑
孙柏青,,,,[伪青龙县县长；强力推行集家并村、修建人圈，疯狂清剿长城沿线抗日武装，制造多起惨案。],HIGH,惨案、清剿,制造多起惨案,伪职：伪青龙县县长；强力推行集家并村、修建人圈，疯狂清剿长城沿线抗日武装，制造多起惨案。；结局：1945 被俘，公审判处死刑,强力推行集家并村、修建人圈，疯狂清剿长城沿线抗日武装，制造多起惨案。,1945 被俘，公审判处死刑
孙柏青,,,,[伪青龙县县长；强力推行集家并村、修建人圈，疯狂清剿长城沿线抗日武装，制造多起惨案。],HIGH,惨案、清剿,制造多起惨案,伪职：伪青龙县县长；强力推行集家并村、修建人圈，疯狂清剿长城沿线抗日武装，制造多起惨案。；结局：1945 被俘，公审判处死刑,强力推行集家并村、修建人圈，疯狂清剿长城沿线抗日武装，制造多起惨案。,1945 被俘，公审判处死刑
孙柏青,,,,[伪青龙县县长；强力推行集家并村、修建人圈，疯狂清剿长城沿线抗日武装，制造多起惨案。],HIGH,惨案、清剿,制造多起惨案,伪职：伪青龙县县长；强力推行集家并村、修建人圈，疯狂清剿长城沿线抗日武装，制造多起惨案。；结局：1945 被俘，公审判处死刑,强力推行集家并村、修建人圈，疯狂清剿长城沿线抗日武装，制造多起惨案。,1945 被俘，公审判处死刑
崔光汉,顺安镇及铜官山周边,安徽,铜陵,[顺安特务大队长（双料特务）],HIGH,惨案、杀害,密直接酿成范家湾惨案,伪职：顺安特务大队长（双料特务）；罪行：伪装进步骗取皖南行署参议员身份，公开叛变投敌；出卖地下党组织，抓捕杀害督导处主任陈益卿；勾结中统，组建特务武装；向日军告密直接酿成范家湾惨案，致使巫希权等 28 位新四军指战员牺牲。；结局：抗战胜利后肃奸捕获，判处死刑处决。,出卖地下党组织，抓捕杀害督导处主任陈益卿；向日军告密直接酿成范家湾惨案，致使巫希权等 28 位新四军指战员牺牲。,抗战胜利后肃奸捕获，判处死刑处决。
张保安,肇州、肇源,黑龙江,大庆,[抗日救国会叛徒],HIGH,惨案,造成三十二烈士惨案,伪职：抗日救国会叛徒；罪行：出卖三肇地下党组织，泄露地下机关地点、救国会人员名册，直接引发三肇大搜捕，造成三十二烈士惨案，大批地下党员被捕牺牲抖音百科。；结局：解放后镇压反革命公审处决。,罪行：出卖三肇地下党组织，泄露地下机关地点、救国会人员名册，直接引发三肇大搜捕，造成三十二烈士惨案，大批地下党员被捕牺牲抖音百科。,解放后镇压反革命公审处决。
张保安,肇州、肇源,黑龙江,大庆,[抗日救国会叛徒],HIGH,惨案,造成三十二烈士惨案,伪职：抗日救国会叛徒；罪行：出卖三肇地下党组织，泄露地下机关地点、救国会人员名册，直接引发三肇大搜捕，造成三十二烈士惨案，大批地下党员被捕牺牲抖音百科。；结局：解放后镇压反革命公审处决。,罪行：出卖三肇地下党组织，泄露地下机关地点、救国会人员名册，直接引发三肇大搜捕，造成三十二烈士惨案，大批地下党员被捕牺牲抖音百科。,解放后镇压反革命公审处决。
张冠英,建昌（凌南）,辽宁,葫芦岛,[伪凌南县（建昌前身）县长],HIGH,惨案、杀害、扫荡,建昌药王庙惨案,伪职：伪凌南县（建昌前身）县长；罪行：建昌药王庙惨案发生时伪县长；配合日军扫荡，抓捕、杀害大量抗日志士与群众。；结局：光复后汉奸罪判刑。,罪行：建昌药王庙惨案发生时伪县长；配合日军扫荡，抓捕、杀害大量抗日志士与群众。,光复后汉奸罪判刑。
张北生,江苏南通,江苏,南通,"[市长, 部长, 军长, 司令, 清乡]",HIGH,屠杀、清剿、清乡,,伪任职务：汪伪苏北清乡主任公署主任、苏北清乡保安司令，通如海启清乡总头目；修筑竹篱笆封锁线，遍设检问所，编组大批伪军、伪保甲，残酷清剿苏中四分区抗日根据地，屠杀大批革命干部群众南通市档案...。。结局：战后判处无期徒刑，长期关押狱中,伪任职务：汪伪苏北清乡主任公署主任、苏北清乡保安司令，通如海启清乡总头目；修筑竹篱笆封锁线，遍设检问所，编组大批伪军、伪保甲，残酷清剿苏中四分区抗日根据地，屠杀大批革命干部群众南通市档案...。。结局：战后判处无期徒刑，长期关押狱中,战后判处无期徒刑，长期关押狱中
张北生,南通全境（通如启海）,江苏,南通,[伪苏北清乡公署主任、清乡保安司令],HIGH,屠杀、清乡,大肆抓捕屠杀,伪职：伪苏北清乡公署主任、清乡保安司令；罪行：汪伪 “清乡专家”，主导苏中四分区血腥清乡；修建竹篱笆封锁线，大肆抓捕屠杀新四军、地下党员与爱国群众，掠夺粮棉物资，摧残苏中抗日根据地南通市档案...。；结局：抗战后国民政府判无期徒刑；新中国成立后重新审理，1954 年南通公审枪决南通市档案...。,伪职：伪苏北清乡公署主任、清乡保安司令；罪行：汪伪 “清乡专家”，主导苏中四分区血腥清乡；修建竹篱笆封锁线，大肆抓捕屠杀新四军、地下党员与爱国群众，掠夺粮棉物资，摧残苏中抗日根据地南通市档案...。,抗战后国民政府判无期徒刑
张发科,离石,山西,吕梁,[伪离石警察所长],HIGH,惨案、扫荡,制造后马家村惨案,伪职：伪离石警察所长；罪行：掌管伪警察，指挥便衣，严刑拷打被捕抗日人员，递送情报配合进山扫荡，制造后马家村惨案。；结局：解放后公审枪决,罪行：掌管伪警察，指挥便衣，严刑拷打被捕抗日人员，递送情报配合进山扫荡，制造后马家村惨案。,解放后公审枪决
张承铭,盱眙,江苏,淮安,[盱眙伪特工队队长],HIGH,屠杀,多次制造抓捕屠杀,伪职：盱眙伪特工队队长；罪行：日伪特务头目，网罗爪牙，暗杀抗日干部，刺探盱嘉支队情报，多次制造抓捕屠杀事件宿迁日报。；结局：解放后公审伏法。,罪行：日伪特务头目，网罗爪牙，暗杀抗日干部，刺探盱嘉支队情报，多次制造抓捕屠杀事件宿迁日报。,解放后公审伏法。
张承铭,盱眙,江苏,淮安,[盱眙伪特工队队长],HIGH,屠杀,多次制造抓捕屠杀,伪职：盱眙伪特工队队长；罪行：日伪特务头目，网罗爪牙，暗杀抗日干部，刺探盱嘉支队情报，多次制造抓捕屠杀事件宿迁日报。；结局：解放后公审伏法。,罪行：日伪特务头目，网罗爪牙，暗杀抗日干部，刺探盱嘉支队情报，多次制造抓捕屠杀事件宿迁日报。,解放后公审伏法。
张敬斋,,,,[伪威县县长；推行保甲连坐，制造多起抓捕惨案。],HIGH,惨案,制造多起抓捕惨案,伪职：伪威县县长；推行保甲连坐，制造多起抓捕惨案。；结局：战后汉奸罪判处徒刑,推行保甲连坐，制造多起抓捕惨案。,战后汉奸罪判处徒刑
张文溪,抚顺郑家屯,辽宁,抚顺,[郑家屯伪警察署署长],HIGH,惨案、扫荡,多次制造村庄惨案,伪职：郑家屯伪警察署署长；罪行：死心投靠日军，带领伪警察四处扫荡，抓捕抗联交通员，多次制造村庄惨案。；结局：抗联战斗中被击毙。,罪行：死心投靠日军，带领伪警察四处扫荡，抓捕抗联交通员，多次制造村庄惨案。,抗联战斗中被击毙。
张百奎,河北巨鹿,河北,邢台,[军长],HIGH,惨案,制造多起惨案,伪任职务：巨鹿伪警备大队长，双手沾满根据地军民鲜血，制造多起惨案。结局：1951 年公审枪决,伪任职务：巨鹿伪警备大队长，双手沾满根据地军民鲜血，制造多起惨案。结局：1951 年公审枪决,1951 年公审枪决
彭天柱,平定,山西,阳泉,[伪警备队第二中队长，驻守河底据点],HIGH,惨案、扫荡,制造大西庄惨案,伪职：伪警备队第二中队长，驻守河底据点；罪行：带队下乡扫荡，制造大西庄惨案，残害地道内避难百姓。；结局：解放后公审枪决,罪行：带队下乡扫荡，制造大西庄惨案，残害地道内避难百姓。,解放后公审枪决
徐继泰,涟水、灌南一带,江苏,淮安,[伪 “和平反共兴亚建国第三军” 军长，伪涟水、阜宁县长],HIGH,屠杀、扫荡,,伪职：伪 “和平反共兴亚建国第三军” 军长，伪涟水、阜宁县长；罪行：原国民党游击司令，1942 年率部投敌；发明多种酷刑残害根据地军民，扫荡盐场，屠杀灶民与抗日干部，频繁袭扰涟东抗日根据地。；结局：抗战胜利后被俘，汉奸审判处决。,发明多种酷刑残害根据地军民，扫荡盐场，屠杀灶民与抗日干部，频繁袭扰涟东抗日根据地。,抗战胜利后被俘，汉奸审判处决。
徐继泰,涟水、灌南一带,江苏,淮安,[伪 “和平反共兴亚建国第三军” 军长，伪涟水、阜宁县长],HIGH,屠杀、扫荡,,伪职：伪 “和平反共兴亚建国第三军” 军长，伪涟水、阜宁县长；罪行：原国民党游击司令，1942 年率部投敌；发明多种酷刑残害根据地军民，扫荡盐场，屠杀灶民与抗日干部，频繁袭扰涟东抗日根据地。；结局：抗战胜利后被俘，汉奸审判处决。,发明多种酷刑残害根据地军民，扫荡盐场，屠杀灶民与抗日干部，频繁袭扰涟东抗日根据地。,抗战胜利后被俘，汉奸审判处决。
戚仲侠,宿迁县城,江苏,宿迁,[伪宿迁宪兵情报队首任队长],HIGH,惨案,制造多起抓捕惨案,伪职：伪宿迁宪兵情报队首任队长；罪行：日军占领初期最早一批汉奸，组建情报队，网罗地痞搜集根据地情报，告密地下抗日人员，制造多起抓捕惨案中共宿迁市...。；结局：抗战胜利后逮捕法办。,罪行：日军占领初期最早一批汉奸，组建情报队，网罗地痞搜集根据地情报，告密地下抗日人员，制造多起抓捕惨案中共宿迁市...。,抗战胜利后逮捕法办。
戚仲侠,宿迁县城,江苏,宿迁,[伪宿迁宪兵情报队首任队长],HIGH,惨案,制造多起抓捕惨案,伪职：伪宿迁宪兵情报队首任队长；罪行：日军占领初期最早一批汉奸，组建情报队，网罗地痞搜集根据地情报，告密地下抗日人员，制造多起抓捕惨案中共宿迁市...。；结局：抗战胜利后逮捕法办。,罪行：日军占领初期最早一批汉奸，组建情报队，网罗地痞搜集根据地情报，告密地下抗日人员，制造多起抓捕惨案中共宿迁市...。,抗战胜利后逮捕法办。
曹湘,无锡荡口（锡东）,江苏,无锡,[伪乡长兼清乡大队长],HIGH,惨案、扫荡、清乡,直接引发门楼下惨案,伪职：伪乡长兼清乡大队长；罪行：向日军告密新四军驻地情报，直接引发门楼下惨案，致使日军奔袭扫荡，残害百姓无锡市档案...。；结局：抗战胜利后公审处决。,伪职：伪乡长兼清乡大队长；罪行：向日军告密新四军驻地情报，直接引发门楼下惨案，致使日军奔袭扫荡，残害百姓无锡市档案...。,抗战胜利后公审处决。
朱德明,贵池观前、茅坦,安徽,池州,[伪区特务头目],HIGH,惨案、屠杀,制造四十二人惨案、至贵池三阳墩集体屠杀,伪职：伪区特务头目；罪行：铁杆特务，因索贿未遂，随意抓捕杜祖汉等 42 名无辜百姓，押至贵池三阳墩集体屠杀，制造四十二人惨案。；结局：1950 年捉拿归案公审枪决。,罪行：铁杆特务，因索贿未遂，随意抓捕杜祖汉等 42 名无辜百姓，押至贵池三阳墩集体屠杀，制造四十二人惨案。,1950 年捉拿归案公审枪决。
朱瑞,洮南,吉林,白城,[伪国高教员，光复后 “光复军” 头目],HIGH,屠杀,,伪职：伪国高教员，光复后 “光复军” 头目；罪行：伪满时期从事奴化教育；日本投降后网罗土匪、伪军警组建国民党东北先遣军第十一师，多次攻打洮南县城，屠杀革命干部群众吉林省地方...。；结局：武装叛乱失败被捕获处决。,日本投降后网罗土匪、伪军警组建国民党东北先遣军第十一师，多次攻打洮南县城，屠杀革命干部群众吉林省地方...。,武装叛乱失败被捕获处决。
朱盛林,承德,河北,承德,[伪满讨伐队头目，龙须门讨伐队；参与王厂沟惨案，屠杀平民 49 人、八路军干部战士多人，在承德??青龙??兴隆疯狂讨伐扫荡。],HIGH,惨案、屠杀、扫荡,参与王厂沟惨案,伪职：伪满讨伐队头目，龙须门讨伐队；参与王厂沟惨案，屠杀平民 49 人、八路军干部战士多人，在承德??青龙??兴隆疯狂讨伐扫荡。；结局：1946??03??13 承德特别法庭公审枪决,参与王厂沟惨案，屠杀平民 49 人、八路军干部战士多人，在承德??青龙??兴隆疯狂讨伐扫荡。,1946??03??13 承德特别法庭公审枪决
