惨案名称,发生地点,涉案人数,涉案人员,涉案人员详情,典型罪行摘要
四十二人惨案,安徽 池州,1,朱德明,朱德明(安徽池州) - 伪区特务头目,伪职：伪区特务头目；罪行：铁杆特务，因索贿未遂，随意抓捕杜祖汉等 42 名无辜百姓，押至贵池三阳墩集体屠杀，制造四十二人惨案。；结局：1950 年捉拿归案公审枪决。
大华饭店大轰炸惨案,江苏 镇江,1,蒋孝忠,蒋孝忠(江苏镇江),伪任职务：潜伏汉奸，架设秘密电台；使用镜子反光为日机轰炸镇江做地面指引，造成大华饭店大轰炸惨案金山网。。结局：当场抓获，江边就地枪决
大胡庄惨案,江苏 淮安,1,沈玉仁,沈玉仁(江苏淮安) - 日伪密探（篾匠）,伪职：日伪密探（篾匠）；罪行：以走街串巷编织竹器为掩护搜集情报；告密新四军驻地，直接引发大胡庄惨案，致使大量指战员牺牲。；结局：解放后清算镇压。
大西庄惨案,山西 阳泉,1,彭天柱,彭天柱(山西阳泉) - 伪警备队第二中队长；驻守河底据点,伪职：伪警备队第二中队长，驻守河底据点；罪行：带队下乡扫荡，制造大西庄惨案，残害地道内避难百姓。；结局：解放后公审枪决
安东教育救国会惨案,辽宁 大连,1,谷次亨,谷次亨(辽宁大连) - 伪安东省教育厅厅长,伪职：伪安东省教育厅厅长；罪行：“安东教育救国会惨案” 之后到任；清洗爱国师生，强力推行奴化教育；后升任伪满总务厅次长、民生部大臣，主导鸦片政策。；结局：抚顺战犯管理所关押，后期特赦抖音百科。
平顶山惨案,,1,夏宜,夏宜 - 伪抚顺县早期县长,伪职：伪抚顺县早期县长；罪行：九一八后投敌，组建抚顺县伪公署；平顶山惨案发生时，向伪奉天省报告情况，配合日军统治。；结局：抗战胜利逮捕，汉奸罪判刑。
建昌药王庙惨案,辽宁 葫芦岛,1,张冠英,张冠英(辽宁葫芦岛) - 伪凌南县（建昌前身）县长,伪职：伪凌南县（建昌前身）县长；罪行：建昌药王庙惨案发生时伪县长；配合日军扫荡，抓捕、杀害大量抗日志士与群众。；结局：光复后汉奸罪判刑。
归还兵惨案,内蒙古 通辽,1,关雅亭,关雅亭(内蒙古通辽) - 伪兴安南警备军副官处长；参与策划 “归还兵惨案”；诱骗起义蒙古武装；协助日军解除武装、屠杀起义官兵。,伪职：伪兴安南警备军副官处长；参与策划 “归还兵惨案”，诱骗起义蒙古武装，协助日军解除武装、屠杀起义官兵。；结局：解放后镇反公审枪决
成安惨案,河北 邯郸,1,刘昆峰,刘昆峰(河北邯郸) - 伪成安县县长；成安惨案之后接管伪政权；协助日军维持占领秩序；搜刮物资。,伪职：伪成安县县长；成安惨案之后接管伪政权，协助日军维持占领秩序，搜刮物资。；结局：抗战胜利后逮捕判刑
捡门惨案,江西 南昌,1,熊大七,熊大七(江西南昌) - 日军靖安队头目,伪职：日军靖安队头目；罪行：充当日军向导，制造华盐桥、捡门惨案；结局：暂无明确结局记载
无人区惨案,,1,周善之,周善之 - 伪赤城县县长；执行集家并村；逼迫百姓迁入人圈；制造无人区惨案。,伪职：伪赤城县县长；执行集家并村，逼迫百姓迁入人圈，制造无人区惨案。；结局：日本投降后潜逃，1946 抓捕归案判刑
朔县惨案,山西 朔州,1,贾德成,贾德成(山西朔州) - 商会会长；朔县惨案中告密汉奸,伪职：商会会长，朔县惨案中告密汉奸；罪行：城破当众指认抗日县长郭同仁，致使郭同仁被日军烧死；后被日军杀死，未等到战后审判。；结局：被日军刺死
本溪胡家村惨案,黑龙江 哈尔滨,1,蔡圣孟,蔡圣孟(黑龙江哈尔滨) - 伪哈尔滨警察厅刑事科搜查股长（“白菜叶” 之一）,伪职：伪哈尔滨警察厅刑事科搜查股长（“白菜叶” 之一）；罪行：制造本溪胡家村惨案，200 余群众被捕屠杀；追踪捕杀抗日志士，严刑逼供杀害多人。；结局：1951 年处决。
桑矾救国会惨案,河北 张家口,1,董九吉,董九吉(河北张家口) - 联庄会头目；后投敌；制造桑矾救国会惨案；杀害我方干部；逮捕大批救国会人员送交日军；严重破坏宣涿怀根据地。,伪职：联庄会头目，后投敌；制造桑矾救国会惨案，杀害我方干部，逮捕大批救国会人员送交日军，严重破坏宣涿怀根据地。；结局：怀来解放后公审枪决
民间惨案,安徽 安庆,1,冯小黑子,冯小黑子(安徽安庆) - 月山据点便衣特务,伪职：月山据点便衣特务；罪行：先投靠日军当情报特务，后又摇摆向国民党；日军为抓捕他扑空叶家享堂，迁怒无辜平民，酿成民间惨案中安在线。；结局：被我方武工队追踪击毙。
泊里大屠杀惨案,山东 潍坊,1,李永平,"李永平(山东潍坊) - 军长, 司令",伪任职务：伪滨海警备军司令，盘踞泊里，制造泊里大屠杀惨案。结局：1944 年病死于青岛
洪山惨案,湖南 岳阳,1,魏永林,魏永林(湖南岳阳),伪任职务：岳阳伪警察巡官，洪山惨案主要凶手，亲手残害多名百姓。结局：抗战胜利公审处决
潘家峪惨案,河北,1,凌以忠,凌以忠 - 伪丰润县县长；兼警备大队长、新民会会长；参与策划潘家峪惨案；召集日伪会议部署扫荡；征调民夫、粮饷资敌。,伪职：伪丰润县县长，兼警备大队长、新民会会长；参与策划潘家峪惨案，部署全县扫荡，强征粮款民夫资敌。；结局：抗战胜利公审判处死刑
玉田大抓捕惨案,河北,1,隋明福,隋明福 - 伪玉田县县长；配合铃木启久日军部队推行第四次治安强化运动；组建反共自卫团、棍儿团；炮制 “八大杀禁律”；全县抓捕三千余抗日人员；制造玉田大抓捕惨案唐山党史网。,伪职：伪玉田县县长；配合日军铃木启久，推行第四次治安强化运动；组建反共自卫团、棍儿团，炮制八大杀禁律，一周抓捕三千余抗日人员，制造玉田大抓捕惨案唐山党史网。；结局：冀东民主政府公审死刑
王厂沟惨案,河北 承德,1,朱盛林,朱盛林(河北承德) - 伪满讨伐队头目；龙须门讨伐队；参与王厂沟惨案；屠杀平民 49 人、八路军干部战士多人；在承德??青龙??兴隆疯狂讨伐扫荡。,伪职：伪满讨伐队头目，龙须门讨伐队；参与王厂沟惨案，屠杀平民 49 人、八路军干部战士多人，在承德??青龙??兴隆疯狂讨伐扫荡。；结局：1946??03??13 承德特别法庭公审枪决
白家辛庄惨案,山西 朔州,1,吴秉周,吴秉周(山西朔州) - 五地委秘书叛变；大特务,伪职：五地委秘书叛变，大特务；罪行：核心叛徒，出卖情报酿成白家辛庄惨案，168 名抗日干部学员遇难，是雁北重大惨案祸首之一。；结局：解放后公审枪决
石洞惨案,安徽 六安,1,周麻子,周麻子(安徽六安) - 霍山便衣汉奸,伪职：霍山便衣汉奸；罪行：带路日军扫荡大河厂，砍断电话线嫁祸乡民，酿成石洞全家 13 口被炸死惨案，烧杀劫掠乡村。；结局：霍山地方武装捕获正法。
范家湾惨案,安徽 铜陵,1,崔光汉,崔光汉(安徽铜陵) - 顺安特务大队长（双料特务）,伪职：顺安特务大队长（双料特务）；罪行：伪装进步骗取皖南行署参议员身份，公开叛变投敌；出卖地下党组织，抓捕杀害督导处主任陈益卿；勾结中统，组建特务武装；向日军告密直接酿成范家湾惨案，致使巫希权等 28 位新四军指战员牺牲。；结局：抗战胜利后肃奸捕获，判处死刑处决。
起义警察惨案,内蒙古 通辽,1,洪福僧格,洪福僧格(内蒙古通辽) - 伪扎鲁特旗警务科长；假意参加起义；出卖加林台等人；直接制造起义警察惨案；双手沾满鲜血。,伪职：伪扎鲁特旗警务科长；假意参加起义，出卖加林台等人，直接制造起义警察惨案，双手沾满鲜血。；结局：1945 年光复后公审枪决
门楼下惨案,江苏 无锡,1,曹湘,曹湘(江苏无锡) - 伪乡长兼清乡大队长,伪职：伪乡长兼清乡大队长；罪行：向日军告密新四军驻地情报，直接引发门楼下惨案，致使日军奔袭扫荡，残害百姓无锡市档案...。；结局：抗战胜利后公审处决。
雒贵琦惨案,山西 吕梁,1,武俊杰,武俊杰(山西吕梁) - 石门墕据点伪维持会总头目,伪职：石门墕据点伪维持会总头目；罪行：土豪劣绅投敌；盘踞石门墕据点，抓捕、悬赏缉拿我方干部；引日伪军制造雒贵琦惨案，残害大批抗日军民。；结局：武工队锄奸击毙
（通用描述）制造多起惨案,山东 济宁,29,孙柏青、刘本功、段炳炎、韩全福、谢文东、周海山、戚仲侠、甘珠尔扎布、刘守德、许铁英、赵儒、王慎修、王河、李易山、邵本良、高首三、武海潭、范俊文、张百奎、李守信、靖国儒、张文溪、郭清、胡锡侯、张敬斋、孙书田、何举之、刘万宝、姜全我,"孙柏青 - 伪青龙县县长；强力推行集家并村、修建人圈；疯狂清剿长城沿线抗日武装；制造多起惨案。；刘本功(山东济宁) - 军长, 司令, 县长；段炳炎(山西忻州) - 伪五台警备大队长；韩全福(内蒙古赤峰) - 韩全福讨伐队大队长；宁城头号汉奸；队伍一百七八十人；长期在宁城、平泉、喀喇沁一带扫荡；烧杀抢掠；制造多起惨案；疯狂围剿承平宁武工队。；谢文东(黑龙江哈尔滨) - 原抗联第八军军长；投降后伪三江省讨伐队头目；周海山(河北秦皇岛) - 伪青龙警备大队长；伪军主力头目；多次配合日军扫荡青平根据地；制造多起村庄惨案。；戚仲侠(江苏宿迁) - 伪宿迁宪兵情报队首任队长；甘珠尔扎布(辽宁阜新) - 伪兴安南警备军司令官、伪第九军管区中将司令官；司令部驻通辽；指挥兴安骑兵多次赴热河、冀东讨伐抗日武装；制造大量惨案；推行奴化教育；为日军搜集粮草马匹抖音百科。；刘守德(山西运城) - 伪警备队中队长；许铁英(河北邯郸) - 土匪投敌；伪铁血团司令；残害抗日军民数百人；日降后被国民党收编；固守广府城；四处烧杀抢掠；制造多起惨案抖音百科。；赵儒(山西晋中) - 伪昔阳警备大队长；王慎修 - 伪汾城县县长；王河(山西长治) - 潞安宪兵队便衣特务头目（上党四大汉奸之一）；李易山(山西朔州) - 我方干部叛变；日伪特务头目；邵本良(吉林通化) - 伪满国军少将；东边道讨伐司令；高首三(河北唐山) - 伪治安军独立二十团团长；兵力千余；迁安??迁西北部最强伪军；反复清乡扫荡迁青平根据地；制造多起村庄惨案；扶持乡村特务眼线；日降后投靠国民党潜伏。；武海潭(河北廊坊) - 伪警备大队长；王德裕副手；驻策城据点；告密我方人员；制造多起惨案。；范俊文(河南开封) - 汪伪安义县特务队队长；张百奎(河北邢台) - 军长；李守信(河北) - 伪蒙古军总司令；总部常驻厚和；指挥伪蒙古骑兵围剿大青山支队；制造多起村庄惨案；捕杀地下交通人员；强征鸦片劳工。；靖国儒(黑龙江绥化) - 伪望奎县县长；张文溪(辽宁抚顺) - 郑家屯伪警察署署长；郭清(河北邯郸) - 土匪投敌；伪冀南剿共独立旅旅长；贾河口为大本营；烧杀掳掠；制造多起村庄惨案；大肆捕杀抗日军民；设立剿共委员会迫害群众。；胡锡侯(河北张家口) - 伪蔚县县长；蔚县是晋察冀根据地前沿；修筑大量碉堡；疯狂抓捕抗日军民；制造多起惨案中共张家口...。；张敬斋 - 伪威县县长；推行保甲连坐；制造多起抓捕惨案。；孙书田(辽宁朝阳) - 伪凌源县县长；何举之 - 伪清丰县县长；依附日军；掠夺粮棉物资；制造多起抓捕惨案。；刘万宝(内蒙古乌兰察布) - 伪凉城警备大队长；铁杆伪军；频繁进山 “治安肃正”；制造多起村庄惨案。；姜全我(辽宁丹东) - 伪凤城县警务科长、伪满少将",伪职：伪兴隆县县长；强力推行集家并村，强修人圈，疯狂清剿雾灵山抗日根据地，制造多起惨案。；结局：1945 被俘，公审判处死刑
