"类别","地区","姓名","职务/身份","主要罪行","结局"
"伪军头目","寿光","孟祝三","伪军头目","张景月部属，曾赴济南参加日伪召集的“高级军官会议”，公开与日军合流[reference:38]","待考"
"伪军头目","寿光","徐振中","国民党投降派保安团团长（汉奸）","益都县国民党投降派保安团团长。1941年1月5日带领朱良据点日伪军300余人包围东朱鹿村，杀害中共清东地委组织部长李寿岭、益寿县委组织部长刘旭东等12名干部群众，制造“东朱鹿惨案”[reference:39][reference:40]。将刘旭东绑在树上挖掉双眼[reference:41]","待考"
"伪军头目","寿光","康岱五","伪军头目","张景月部属，曾赴济南参加日伪“高级军官会议”[reference:42]","待考"
"伪军头目","寿光","刘协唐","伪军头目","张景月部属，曾赴济南参加日伪“高级军官会议”[reference:43]","待考"
"伪军头目","寿光","苗思九","伪军头目","张景月部属，曾赴济南参加日伪“高级军官会议”[reference:44]","待考"
"伪军头目","安丘","韩寿臣","伪军头目（厉文礼部属）","厉文礼投降日寇后，韩寿臣也被逼迫做了汉奸。他非常清楚当汉奸的下场，私下寻求出路[reference:45]","后被我党争取反正[reference:46]"
"伪军头目","安丘","谭培东","伪安丘保安大队大队长","安丘县汉奸武装主要是保安大队谭培东部，下设3个中队，共230人[reference:47]","待考"
"伪军头目","安丘","高福亭","伪安丘保安大队一中队中队长","谭培东部下中队长[reference:48]","待考"
"伪军头目","安丘","（另两名中队长佚名）","伪安丘保安大队中队长","谭培东部下另两个中队长[reference:49]","待考"
"伪军头目","高密","李仞千","高密豪绅（汉奸）","高密豪绅，老奸巨猾，善于幕后操纵[reference:50][reference:51]。暗地里积极筹备成立维持会，准备迎接日军进城[reference:52]","待考"
"伪军头目","高密","蔡晋康","伪军头目（“曲线救国”）","带200余人残兵逃回高密后投降日军，当“曲线救国”的汉奸队，驻守城东北乡，残害群众[reference:53]","待考"
"伪军头目","高密","李永平","汉奸头目（伪滨海警备军司令）","高密人。原为土匪，“九一八”后拉起队伍占山为王[reference:54]。1943年率6000余人投靠日军，任伪滨海警备军少将司令，盘踞胶南、诸城沿海。1944年制造“泊里惨案”，杀害共产党员和群众120多人","1944年11月1日病死在青岛[reference:55]"
"伪军头目","昌邑","刘洪祥","大汉奸、“水稻专家”","伪“山东经济开发署”汉奸，被称为“水稻专家”[reference:56]","待考"
"伪军头目","昌邑","于海","汉奸","昌邑县臭名昭著的汉奸，抓捕抗日交通员[reference:57]","待考"
"伪军头目","昌邑","杨新元","伪军连长","昌邑柳疃据点伪军连长，认贼作父，死心塌地为日本人卖命[reference:58]","待考"
"伪军头目","潍县","于乃武","汉奸特务（坊子宪兵队）","原为国民革命军鲁苏战区挺进第二纵队人员，后变节投向日寇，成为坊子宪兵队豢养的汉奸特务[reference:59]","被其干兄弟、同为汉奸特务的胡庆林枪杀[reference:60]"
"伪军头目","潍县","胡庆林","汉奸特务（坊子宪兵队潍县分队）","坊子宪兵队潍县分队汉奸特务，将于乃武枪杀[reference:61]","待考"
"伪军头目","潍县","罗亚杰","伪宣抚班成员","东北人，阴险毒辣。每逢大集就换上便衣到集上搜寻游击队，认为谁有嫌疑就带到宣抚班拷打审问[reference:62]","待考"
"伪军头目","潍县","孙广智","伪宣抚班成员","毕业于北京宣抚指挥训练所，会讲日语[reference:63]","待考"
"伪军头目","潍县","毛彩臣","汉奸（迎接日军入城）","潍县地主、资本家，与毛寄尘、郭雨若等出城到三里庄迎接日军入城[reference:64]","待考"
"伪军头目","潍县","郭雨若","汉奸（迎接日军入城）","潍县地主、资本家，与毛寄尘等迎接日军入城[reference:65]","待考"
"伪军头目","益都（今青州）","孙伏武","红山区伪区长（头号汉奸）","原为益都红山区区长，叛变后成为当地头号汉奸，任矿区护矿队长[reference:66]","待考"
"伪军头目","益都（今青州）","左焕亮","伪乡长","益都杨古桥伪乡长，抗日前、抗日期间、抗日胜利后均任乡长，与土顽头子陈有浩勾结紧密[reference:68]","待考"
"伪军头目","益都（今青州）","赵昌五","伪十区乡长","益都伪十区乡长，地头蛇、反共急先锋，极力效忠日军，曾先后拉拢我干部投敌，并经常配合日伪军“扫荡”[reference:69]","待考"
"伪军头目","昌乐","李寿朋","汉奸（告密者）","1938年2月向驻乔官据点的日军献计，配合日军制造“小善地惨案”，屠杀全村百姓[reference:70][reference:71]","待考"
"伪军头目","昌乐","赵仲诺","汉奸","张天佐部属，后任昌潍安警戒线负责人[reference:72]","待考"
"伪军头目","潍坊地区","秦冠三","伪特务二大队队长（原土匪）","用“绑票”的钱买通国民党政府要人，被收编为厉文礼部特务二大队[reference:73]。1945年9月被张天佐改编为“潍县保安二大队”[reference:74]","待考"
"伪军头目","潍坊地区","范企奭","伪军头目","原为厉文礼部三支队、四支队等汉奸武装头目之一[reference:75]","待考"
"伪军头目","潍坊地区","秦三","伪军头目","厉文礼部三支队、四支队等汉奸武装头目之一[reference:76]","待考"
"特殊人物","潍县","张天佐","国民党第八区专员（与日伪勾结）","虽非日伪任命，但1943年派二营长张震寰以五团长的身份投降日军，以“曲线救国”为由开脱[reference:77]。所部多为替日本人卖命的汉奸[reference:78]。在潍坊地区横行多年，杀害共产党人无数[reference:79]","1948年潍县战役中被解放军击毙[reference:80]"
"特殊人物（抗日）","益都（今青州）","冯毅之","四县联办主任（抗日）","益都抗日根据地领导人，绰号“冯铁头”。汉奸孙伏武叛变后口口声声要砍他的“铁头”","建国后任职"
"汉奸特务","潍县","（佚名汉奸特务）","日伪特务","日军在潍县设有大量汉奸特务网络，包括“宣抚班”等机构[reference:82]","待考"
"基层汉奸","潍坊各地","（大量伪乡长、伪保长）","伪乡长、伪保长","日伪在潍坊各地推行保甲制度，设立大量伪乡、保长，为日军征粮派款、搜捕抗日人员[reference:83]","部分被镇压，部分待考"
