"类别","地区","姓名","职务/身份","主要罪行","结局"
"伪军头目","峄县（韩庄）","孙茂墀","韩庄日伪警备大队中队长（兼）","古邵人，韩庄警备大队中队长[reference:44][reference:45][reference:46]","待考"
"伪军头目","峄县（韩庄）","褚思杰","韩庄日伪警备大队中队长","张来余部下中队长，后叛变[reference:47][reference:48]","待考"
"伪军头目","峄县（韩庄）","孙茂山","韩庄日伪警备大队中队长","小韩洼村人，以“神枪手”著称，张来余部下中队长[reference:49]","后被除奸队枪杀[reference:50]"
"伪军头目","峄县（韩庄）","徐保友","韩庄日伪警备大队中队长","张来余部下中队长[reference:51]","待考"
"伪军头目","滕县","李保东","伪滕县警察所剿共班长","滕县“铁杆”汉奸[reference:52][reference:53]。对抗日军民异常残酷，在日寇面前却摇尾乞怜[reference:54]。受日寇宪兵队长命令限期消灭鲁南行署公安局短枪队[reference:55]","待考"
"伪军头目","滕县","马志胜","南宿据点伪军中队长","滕县南宿据点伪军中队长，驻守据点约120人[reference:56]","待考"
"伪军头目","滕县","范某（佚名）","日伪“和平救国军”营长","滕县范家村日伪“和平救国军”营长[reference:57][reference:58]","被曹兴中等人逮捕后处决于洪村家前[reference:59]"
"伪军头目","峄县","王占牛","伪军头目","盘踞临沂卞庄的大汉奸[reference:60]。后逃至峄县与伪县长石振九伙并[reference:61]","1945年9月7日解放峄县时被活捉[reference:62]"
"伪军头目","峄县","庞明学","伪峄县警备大队长","峄县伪警备大队长[reference:63]","1945年9月解放峄县时被生俘[reference:64]"
"伪军头目","峄县","王成贵","伪军头目","峄县伪军头目[reference:65]","1945年9月解放峄县时被生俘[reference:66]"
"伪军头目","峄县","赵一樵","伪军头目","峄县伪军头目，罪大恶极[reference:67]","被押送赵镈县处置[reference:68]"
"伪军头目","峄县","金殿明","伪军头目","峄县伪军头目，罪大恶极[reference:69]","被押送赵镈县处置[reference:70]"
"伪军头目","峄县","赵剑南","尚岩伪区长","尚岩伪区长，罪大恶极[reference:71]","被押送赵镈县处置[reference:72]"
"伪军头目","峄县（棠阴）","赵洪云","伪军头目","棠阴汉奸头目[reference:73][reference:74]","待考"
"伪军头目","峄县（棠阴）","褚思青","伪军头目","棠阴汉奸头目[reference:75][reference:76]","待考"
"伪军头目","峄县（周营）","李云阁","伪军头目","周营汉奸头目[reference:77][reference:78]","待考"
"伪军头目","峄县（峄城东店子）","王怀之","伪军头目","峄县东店子街汉奸头目[reference:79][reference:80]","待考"
"伪军头目","峄县（齐村）","朱玉相","伪军头目","齐村汉奸头目[reference:81][reference:82]","待考"
"伪军头目","峄县","黄礼汶","汉奸地主","吉庄汉奸地主，正在修筑碉堡组织汉奸为泥沟车站日军效劳[reference:83]","待考"
"伪军头目","峄县","刘善云","红枪会匪首（铁杆汉奸）","盘踞巨梁桥的红枪会匪首，铁杆汉奸[reference:84]","待考"
"伪军头目","峄县","潘明希","伪军头目","1938年秋率百余人企图在宁楼安设据点[reference:85]","待考"
"伪军头目","滕县","史安清","艾湖乡伪乡长","滕县艾湖乡“铁杆”汉奸[reference:86][reference:87]","待考"
"伪军头目","滕县","马平坤","南宿据点伪乡长","滕县南宿据点伪乡长[reference:88]","待考"
"伪军头目","滕县","丁谓溪","保卫团团长（投敌）","滕县保卫战后投降日军[reference:89]","被日军斩首，所部200余人被机枪扫射[reference:90]"
"伪军头目","滕县","张显荣","汉奸（泗水）","泗水县汉奸，曾偷袭孔昭同自卫军[reference:91]","待考"
"伪乡长","峄县（税郭）","王继美（兼）","税郭乡伪乡长","兼任税郭乡伪乡长，驻防税郭，成为日军枣庄据点东部的屏障[reference:92][reference:93]。1942年7月与当地汉奸、伪乡长联手为日军立“功德碑”[reference:94]","见上"
"汉奸特务","峄县","王懔言","日军特务组织副队长","原峄县县委宣传部委员，被捕后屈膝投降当了汉奸，加入日军特务组织任副队长[reference:95]。经常带领日伪抓捕地下党员和游击队员[reference:96]","待考"
"汉奸特务","峄县","王哲书（大老黑）","峄城大地主（汉奸）","峄城大地主，在敌人卵翼下充当汉奸[reference:97]","待考"
"汉奸特务","峄县","王广澜","峄城大地主（汉奸）","峄城大地主，在敌人卵翼下充当汉奸[reference:98]","待考"
"汉奸特务","峄县","孙鲁星","峄城商人（汉奸）","峄城商人，充当汉奸[reference:99]","待考"
"汉奸特务","峄县","卜竹亭","峄城商人（汉奸）","峄城商人，充当汉奸[reference:100]","待考"
"汉奸特务","峄县","郑典三","台儿庄汉奸","台儿庄汉奸[reference:101]","待考"
"汉奸特务","峄县","孙茂璠","宁楼大地主（汉奸）","宁楼大地主，与韩庄汉奸头目张来余是亲戚[reference:102]","待考"
"关联人物（台儿庄）","台儿庄","夏文运","日军翻译官（潜伏人员）","台儿庄战役时为日军翻译官，表面是“汉奸”，实际系李宗仁安插的情报员。在台儿庄战役关键时刻送出“日军北动南不动”八字密报，助中国军队取得大捷[reference:103][reference:104]","抗战胜利后恢复身份（非汉奸，系潜伏人员）"
