"类别","地区","姓名","职务/身份","主要罪行","结局"
"伪军头目","蓬莱县","许子东","伪反共委员会主任","蓬莱大汉奸之一[reference:37]","抗战胜利后潜逃[reference:38]；被通缉"
"伪军头目","蓬莱县","刘荣斋","伪县知事","蓬莱汉奸[reference:39]","抗战胜利后潜逃；被通缉并没收财产[reference:40]"
"伪军头目","蓬莱县","柳江城","伪县知事","蓬莱汉奸[reference:41]","抗战胜利后潜逃；被通缉并没收财产"
"伪军头目","蓬莱县","赵富文","伪县知事","蓬莱汉奸[reference:42]","抗战胜利后潜逃；被通缉并没收财产"
"伪军头目","蓬莱县","王维超","伪宣教科长","蓬莱汉奸[reference:43]","抗战胜利后潜逃；被通缉并没收财产"
"伪军头目","蓬莱县","迟雅堂","伪宣教科长","蓬莱汉奸[reference:44]","抗战胜利后潜逃；被通缉并没收财产"
"伪军头目","蓬莱县","高甫光","伪警察所长","蓬莱汉奸[reference:45]","抗战胜利后潜逃；被通缉并没收财产"
"伪军头目","蓬莱县","钦家谋","伪二区区长","蓬莱汉奸[reference:46]","抗战胜利后潜逃；被通缉并没收财产"
"伪军头目","蓬莱县","许少璞","伪二区区长","蓬莱汉奸[reference:47]","抗战胜利后潜逃；被通缉并没收财产"
"伪军头目","蓬莱县","赵静波","伪三区区长","蓬莱汉奸[reference:48]","抗战胜利后潜逃；被通缉并没收财产"
"伪军头目","蓬莱县","史荷甫","伪五区区长","蓬莱汉奸[reference:49]","抗战胜利后潜逃；被通缉并没收财产"
"伪军头目","蓬莱县","陈益亭","伪五区区长","蓬莱汉奸[reference:50]","抗战胜利后潜逃；被通缉并没收财产"
"伪军头目","蓬莱县","骆兆喜","伪六区区长","蓬莱汉奸[reference:51]","抗战胜利后潜逃；被通缉并没收财产"
"伪军头目","蓬莱县","于鹏飞","伪六区区长","蓬莱汉奸[reference:52]","抗战胜利后潜逃；被通缉并没收财产"
"伪军头目","蓬莱县","孙铁民","伪七区区长","蓬莱汉奸[reference:53]","抗战胜利后潜逃；被通缉并没收财产"
"伪军头目","蓬莱县","王贵仁","伪八区区长","蓬莱汉奸[reference:54]","抗战胜利后潜逃；被通缉并没收财产"
"伪军头目","蓬莱县","马德卿","伪九区区长","蓬莱汉奸[reference:55]","抗战胜利后潜逃；被通缉并没收财产"
"伪军头目","蓬莱县","戴增勋","伪长山岛办事处主任","蓬莱汉奸[reference:56]","抗战胜利后潜逃；被通缉并没收财产"
"伪军头目","蓬莱县","骆柽庭","伪一区区长","蓬莱汉奸[reference:57]","抗战胜利后在逃；被通缉[reference:58]"
"伪军头目","蓬莱县","辛少甫","伪一区区长","蓬莱汉奸[reference:59]","抗战胜利后在逃；被通缉"
"伪军头目","蓬莱县","李振邦","伪四区区长","蓬莱汉奸[reference:60]","抗战胜利后在逃；被通缉"
"伪军头目","蓬莱县","鲁文芳","伪大队副","蓬莱汉奸[reference:61]","待考"
"伪军头目","蓬莱县","郭光宗","伪一大队长","蓬莱汉奸[reference:62]","待考"
"伪军头目","蓬莱县","于尚诚","伪二大队长","蓬莱汉奸[reference:63]","待考"
"伪军头目","栖霞县","林朋九（林鸣九）","栖霞县维持会组织者","1938年2月2日日军经栖霞时将太阳旗交给他，令其组织“维持会”[reference:64][reference:65][reference:66]","待考"
"伪军头目","栖霞县","了然（了缘和尚）","云陵寺主持、伪“救国团”团长","勾结日伪组织“救国团”自任团长[reference:67][reference:68]；刺探情报、暗杀抗日军民[reference:69][reference:70]；在八路军给养中投毒毒死战士10余名[reference:71][reference:72]；阴谋暴动颠覆抗日政府[reference:73]；勾结烟台日军准备向村庄水井投毒[reference:74]","1942年被破获[reference:75]；公审大会当场宣判死刑立即执行[reference:76][reference:77]"
"伪军头目","栖霞县","刘海臣","汉奸","亲手杀害抗日军民10人、主使杀害35人[reference:78][reference:79]","1946年1月7日被栖霞、栖东县6000余人公审[reference:80][reference:81]"
"伪军头目","栖霞县","王子元","汉奸","带领日军残杀抗日军民百余人[reference:82][reference:83]","1946年1月9日被栖东县4000余人公审[reference:84][reference:85]"
"伪军头目","栖霞县","潘藻","“暗杀团”头目","组织“暗杀团”[reference:86]","被逮捕；公审大会枪决[reference:87]"
"伪军头目","栖霞县","潘德","“暗杀团”成员","“暗杀团”成员[reference:88]","被公审枪决[reference:89]"
"伪军头目","栖霞县","李顺","“暗杀团”成员","“暗杀团”成员[reference:90]","被公审枪决[reference:91]"
"伪军头目","福山县","赖芳圃","汉奸（诱降者）","福山首富大财主[reference:92]；日军侵占福山前夕诱使国民党县长陈昱投降日伪[reference:93][reference:94]","1942年被“撕票”（被杀）[reference:95]"
"伪军头目","福山县","陈昱","日伪福山县县长（原国民党县长）","被汉奸赖芳圃诱降[reference:96][reference:97]；派二区区长曲绍复疏通伪烟台道尹张华南，当上日伪福山县县长[reference:98]","待考"
"伪军头目","福山县","曲绍复","伪二区区长","受陈昱派遣疏通伪烟台道尹张华南[reference:99][reference:100]","待考"
"伪军头目","掖县（今莱州）","刘子容","伪掖县县长","掖县（今莱州）伪县长","1938年3月8日玉皇顶起义中被活捉[reference:101]"
"伪军头目","莱阳县","孔庆福","汉奸","1940年日军占领马连庄后投靠日军[reference:102]；镇压民众抗日救亡运动[reference:103]；亲自督乡队抓村民17人，4人惨遭杀害[reference:104]","待考"
"伪军头目","海阳县","（汉奸四爷及天禄）","汉奸（密告者）","将自卫队队长雷长德密告敌伪[reference:105]；伪保安队将雷长德抓去[reference:106]","待考"
"伪军头目","烟台（芝罘）","（芝罘陆军特务机关汉奸特务队）","日军芝罘陆军特务机关汉奸特务队（31名）","日军芝罘陆军特务机关汉奸特务队31名特务[reference:107]","全部死于日军宪兵的机枪和刺刀下[reference:108]"
"关联汉奸（烟台活动）","大连/烟台","张本政","日本特务/大奸商","甲午战争时为日军带路攻占旅顺[reference:109]；在烟台经营海上运输、工厂、银行等[reference:110]；为日军捐40架战机[reference:111][reference:112]；做汉奸长达50余年[reference:113]","抗战胜利后被国民政府逮捕判刑12年[reference:114]；1951年被人民政府公审处决[reference:115][reference:116]"
